"",BBK01.OEHB15N,BBK01.OEHB15N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:12,
2002-01,1.981,
2002-04,1.973,
2002-07,1.958,
2002-10,1.885,
2003-01,1.930,
2003-04,1.931,
2003-07,1.932,
2003-10,1.876,
2004-01,1.812,
2004-04,1.776,
2004-07,1.777,
2004-10,1.733,
2005-01,1.732,
2005-04,1.720,
2005-07,1.718,
2005-10,1.735,
2006-01,1.721,
2006-04,1.722,
2006-07,1.699,
2006-10,1.719,
2007-01,1.677,
2007-04,1.688,
2007-07,1.680,
2007-10,1.671,
2008-01,1.634,
2008-04,1.659,
2008-07,1.640,
2008-10,1.621,
2009-01,1.602,
2009-04,1.654,
2009-07,1.697,
2009-10,1.737,
2010-01,1.745,
2010-04,1.784,
2010-07,1.772,
2010-10,1.748,
2011-01,1.766,
2011-04,1.781,
2011-07,1.799,
2011-10,1.794,
2012-01,1.801,
2012-04,1.814,
2012-07,1.807,
2012-10,1.791,
2013-01,1.766,
2013-04,1.771,
2013-07,1.782,
2013-10,1.759,
2014-01,1.738,
2014-04,1.756,
2014-07,1.775,
