"",BBK01.OECM05L,BBK01.OECM05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:49,
2002-01,0.068,
2002-04,0.074,
2002-07,0.076,
2002-10,0.068,
2003-01,0.073,
2003-04,0.077,
2003-07,0.078,
2003-10,0.129,
2004-01,0.149,
2004-04,0.170,
2004-07,0.376,
2004-10,0.373,
2005-01,0.411,
2005-04,0.429,
2005-07,0.474,
2005-10,0.483,
2006-01,0.496,
2006-04,0.513,
2006-07,0.545,
2006-10,0.542,
2007-01,0.564,
2007-04,0.572,
2007-07,0.789,
2007-10,1.018,
2008-01,1.452,
2008-04,1.632,
2008-07,1.685,
2008-10,1.780,
2009-01,1.869,
2009-04,1.880,
2009-07,1.843,
2009-10,2.161,
2010-01,2.160,
2010-04,2.186,
2010-07,2.298,
2010-10,2.415,
2011-01,2.420,
2011-04,2.342,
2011-07,2.306,
2011-10,2.343,
2012-01,2.408,
2012-04,2.427,
2012-07,2.381,
2012-10,2.352,
2013-01,2.412,
2013-04,2.346,
2013-07,2.450,
2013-10,2.378,
2014-01,2.402,
2014-04,2.380,
2014-07,2.353,
