"",BBK01.OEHL08N,BBK01.OEHL08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:17,
2002-01,61.186,
2002-04,61.187,
2002-07,60.602,
2002-10,61.883,
2003-01,62.177,
2003-04,61.911,
2003-07,61.649,
2003-10,62.030,
2004-01,61.707,
2004-04,61.525,
2004-07,61.082,
2004-10,61.801,
2005-01,62.002,
2005-04,62.020,
2005-07,61.900,
2005-10,62.208,
2006-01,62.107,
2006-04,61.324,
2006-07,60.101,
2006-10,59.025,
2007-01,57.077,
2007-04,55.283,
2007-07,53.782,
2007-10,53.338,
2008-01,52.413,
2008-04,51.415,
2008-07,50.095,
2008-10,50.800,
2009-01,52.265,
2009-04,53.349,
2009-07,54.467,
2009-10,55.972,
2010-01,57.251,
2010-04,58.143,
2010-07,59.018,
2010-10,60.784,
2011-01,61.737,
2011-04,61.461,
2011-07,60.685,
2011-10,60.648,
2012-01,60.200,
2012-04,60.004,
2012-07,60.090,
2012-10,60.606,
2013-01,61.184,
2013-04,61.548,
2013-07,61.812,
2013-10,62.395,
2014-01,62.536,
2014-04,62.148,
2014-07,61.935,
