"",BBFN1.M.DE.N.1.L.EE.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.EE.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Estonia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:44,
1994-07,0.004,
1994-08,0.006,
1994-09,0.007,
1994-10,0.004,
1994-11,0.005,
1994-12,0.005,
1995-01,0.005,
1995-02,0.006,
1995-03,0.012,
1995-04,0.005,
1995-05,0.007,
1995-06,0.004,
1995-07,0.005,
1995-08,0.006,
1995-09,0.005,
1995-10,0.005,
1995-11,0.005,
1995-12,0.005,
1996-01,0.005,
1996-02,0.005,
1996-03,0.004,
1996-04,0.004,
1996-05,0.006,
1996-06,0.006,
1996-07,0.007,
1996-08,0.005,
1996-09,0.005,
1996-10,0.004,
1996-11,0.005,
1996-12,0.006,
1997-01,0.005,
1997-02,0.005,
1997-03,0.005,
1997-04,0.007,
1997-05,0.008,
1997-06,0.011,
1997-07,0.009,
1997-08,0.010,
1997-09,0.008,
1997-10,0.008,
1997-11,0.007,
1997-12,0.007,
1998-01,0.007,
1998-02,0.007,
1998-03,0.007,
1998-04,0.006,
1998-05,0.008,
1998-06,0.007,
1998-07,0.007,
1998-08,0.007,
1998-09,0.008,
1998-10,0.006,
1998-11,0.007,
1998-12,0.006,
1999-01,0.005,
1999-02,0.007,
1999-03,0.007,
1999-04,0.007,
1999-05,0.005,
1999-06,0.006,
1999-07,0.007,
1999-08,0.006,
1999-09,0.019,
1999-10,0.010,
1999-11,0.017,
1999-12,0.008,
2000-01,0.019,
2000-02,0.008,
2000-03,0.007,
2000-04,0.009,
2000-05,0.006,
2000-06,0.006,
2000-07,0.006,
2000-08,0.008,
2000-09,0.007,
2000-10,0.008,
2000-11,0.009,
2000-12,0.009,
2001-01,0.007,
2001-02,0.008,
2001-03,0.010,
2001-04,0.009,
2001-05,0.009,
2001-06,0.010,
2001-07,0.010,
2001-08,0.010,
2001-09,0.012,
2001-10,0.012,
2001-11,0.014,
2001-12,0.012,
2002-01,0.011,
2002-02,0.016,
2002-03,0.009,
2002-04,0.008,
2002-05,0.011,
2002-06,0.009,
2002-07,0.012,
2002-08,0.010,
2002-09,0.011,
2002-10,0.013,
2002-11,0.013,
2002-12,0.013,
2003-01,0.015,
2003-02,0.014,
2003-03,0.014,
2003-04,0.017,
2003-05,0.016,
2003-06,0.020,
2003-07,0.016,
2003-08,0.017,
2003-09,0.019,
2003-10,0.060,
2003-11,0.017,
2003-12,0.019,
2004-01,0.020,
2004-02,0.024,
2004-03,0.016,
2004-04,0.021,
2004-05,0.023,
2004-06,0.022,
2004-07,0.036,
2004-08,0.037,
2004-09,0.047,
2004-10,0.050,
2004-11,0.070,
2004-12,0.085,
2005-01,0.148,
2005-02,0.095,
2005-03,0.106,
2005-04,0.235,
2005-05,0.125,
2005-06,0.123,
2005-07,0.132,
2005-08,0.135,
2005-09,0.140,
2005-10,0.145,
2005-11,0.144,
2005-12,0.145,
2006-01,0.157,
2006-02,0.144,
2006-03,0.148,
2006-04,0.159,
2006-05,0.146,
2006-06,0.155,
2006-07,0.153,
2006-08,0.152,
2006-09,0.151,
2006-10,0.155,
2006-11,0.163,
2006-12,0.030,
2007-01,0.026,
2007-02,0.029,
2007-03,0.029,
2007-04,0.033,
2007-05,0.037,
2007-06,0.034,
2007-07,0.036,
2007-08,0.034,
2007-09,0.033,
2007-10,0.033,
2007-11,0.039,
2007-12,0.050,
2008-01,0.051,
2008-02,0.043,
2008-03,0.043,
2008-04,0.038,
2008-05,0.038,
2008-06,0.040,
2008-07,0.031,
2008-08,0.030,
2008-09,0.032,
2008-10,0.030,
2008-11,0.029,
2008-12,0.028,
2009-01,0.026,
2009-02,0.027,
2009-03,0.025,
2009-04,0.030,
2009-05,0.033,
2009-06,0.048,
2009-07,0.049,
2009-08,0.049,
2009-09,0.065,
2009-10,0.069,
2009-11,0.075,
2009-12,0.065,
2010-01,0.054,
2010-02,0.054,
2010-03,0.060,
2010-04,0.051,
2010-05,0.053,
2010-06,0.050,
2010-07,0.048,
2010-08,0.051,
2010-09,0.060,
2010-10,0.067,
2010-11,0.070,
2010-12,0.066,
2011-01,0.080,
2011-02,0.089,
2011-03,0.100,
2011-04,0.124,
2011-05,0.129,
2011-06,0.142,
2011-07,0.154,
2011-08,0.182,
2011-09,0.198,
2011-10,0.220,
2011-11,0.238,
2011-12,0.246,
2012-01,0.242,
2012-02,0.263,
2012-03,0.267,
2012-04,0.264,
2012-05,0.254,
2012-06,0.262,
2012-07,0.259,
2012-08,0.264,
2012-09,0.262,
2012-10,0.274,
2012-11,0.277,
2012-12,0.155,
2013-01,0.099,
2013-02,0.099,
2013-03,0.107,
2013-04,0.091,
2013-05,0.101,
2013-06,0.105,
2013-07,0.098,
2013-08,0.106,
2013-09,0.104,
2013-10,0.100,
2013-11,0.103,
2013-12,0.103,
2014-01,0.096,
2014-02,0.104,
2014-03,0.077,
2014-04,0.076,
2014-05,0.080,
2014-06,0.080,
2014-07,0.070,
2014-08,0.057,
2014-09,0.061,
2014-10,0.062,
2014-11,0.065,
2014-12,0.045,
