"",BBFB1.Q.N.DE.GR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:25,
1991-01,60.480,
1991-04,185.814,
1991-07,144.162,
1991-10,131.498,
1992-01,42.129,
1992-04,192.025,
1992-07,20.988,
1992-10,-184.725,
1993-01,-10.636,
1993-04,392.033,
1993-07,3.513,
1993-10,52.984,
1994-01,39.196,
1994-04,433.143,
1994-07,101.412,
1994-10,-34.937,
1995-01,208.394,
1995-04,18.018,
1995-07,-189.931,
1995-10,274.305,
1996-01,941.314,
1996-04,-142.525,
1996-07,180.165,
1996-10,-90.658,
1997-01,201.734,
1997-04,587.860,
1997-07,131.966,
1997-10,1171.183,
1998-01,1440.767,
1998-04,746.938,
1998-07,298.270,
1998-10,1145.632,
1999-01,4011.845,
1999-04,463.760,
1999-07,278.533,
1999-10,486.564,
2000-01,2005.310,
2000-04,666.453,
2000-07,2792.104,
2000-10,230.879,
2001-01,491.289,
2001-04,36.390,
2001-07,2700.815,
2001-10,453.535,
2002-01,459.583,
2002-04,563.448,
2002-07,1130.296,
2002-10,624.428,
2003-01,1566.419,
2003-04,393.022,
2003-07,-35.240,
2003-10,1016.369,
2004-01,66.648,
2004-04,2206.160,
2004-07,2108.627,
2004-10,-1481.336,
2005-01,3904.848,
2005-04,3050.881,
2005-07,1143.224,
2005-10,-1405.120,
2006-01,3412.592,
2006-04,-1.970,
2006-07,275.139,
2006-10,-2119.880,
2007-01,2011.019,
2007-04,-2630.007,
2007-07,-932.427,
2007-10,-634.751,
2008-01,2309.055,
2008-04,2972.440,
2008-07,1348.558,
2008-10,-1838.066,
2009-01,1969.918,
2009-04,-85.334,
2009-07,4338.567,
2009-10,3618.906,
2010-01,2140.779,
2010-04,3499.638,
2010-07,-1391.775,
2010-10,7245.186,
2011-01,-389.241,
2011-04,-2558.545,
2011-07,3689.454,
2011-10,944.718,
2012-01,877.414,
2012-04,10186.118,
2012-07,-793.606,
2012-10,8970.078,
2013-01,984.950,
2013-04,6836.925,
2013-07,-447.470,
2013-10,125.774,
2014-01,-515.628,Provisional value
2014-04,1144.440,Provisional value
2014-07,-1068.356,Provisional value
2014-10,-308.301,Provisional value
