"",BBDE1.Q.DE.Y.LCA1.A2N100000.A.L.I08.A,BBDE1.Q.DE.Y.LCA1.A2N100000.A.L.I08.A_FLAGS
"","Index of labour costs / Germany / Mining and quarrying, manufacturing and service activities (B-S) / Calendar and seasonally adjusted",
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:04,
1996-01,80.4,
1996-04,80.3,
1996-07,81.2,
1996-10,82.7,
1997-01,83.1,
1997-04,81.9,
1997-07,82.2,
1997-10,83.3,
1998-01,83.1,
1998-04,83.7,
1998-07,84.2,
1998-10,84.6,
1999-01,84.7,
1999-04,85.9,
1999-07,86.2,
1999-10,86.2,
2000-01,86.9,
2000-04,87.9,
2000-07,89.1,
2000-10,89.6,
2001-01,89.6,
2001-04,90.3,
2001-07,90.8,
2001-10,91.7,
2002-01,92.4,
2002-04,91.9,
2002-07,92.9,
2002-10,93.7,
2003-01,94.7,
2003-04,94.8,
2003-07,95.3,
2003-10,95.1,
2004-01,95.7,
2004-04,95.9,
2004-07,95.6,
2004-10,95.4,
2005-01,96.5,
2005-04,95.6,
2005-07,95.8,
2005-10,95.9,
2006-01,96.4,
2006-04,96.8,
2006-07,97.3,
2006-10,97.4,
2007-01,96.6,
2007-04,97.5,
2007-07,97.9,
2007-10,98.7,
2008-01,99.6,
2008-04,98.3,
2008-07,99.9,
2008-10,102.1,
2009-01,102.7,
2009-04,102.7,
2009-07,103.1,
2009-10,102.3,
2010-01,103.9,
2010-04,103.5,
2010-07,104.0,
2010-10,104.1,
2011-01,105.7,
2011-04,106.8,
2011-07,106.9,
2011-10,107.6,
2012-01,108.1,
2012-04,110.2,
2012-07,110.7,
2012-10,111.6,
2013-01,112.2,
2013-04,111.8,
2013-07,111.4,
2013-10,112.9,
2014-01,112.7,
2014-04,113.8,
2014-07,114.1,
