"",BBK01.OEAF01O,BBK01.OEAF01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:52,
2002-01,49.378,
2002-04,49.793,
2002-07,50.379,
2002-10,50.941,
2003-01,50.697,
2003-04,51.505,
2003-07,48.390,
2003-10,49.335,
2004-01,49.519,
2004-04,50.290,
2004-07,50.833,
2004-10,51.058,
2005-01,51.796,
2005-04,52.125,
2005-07,52.645,
2005-10,53.168,
2006-01,53.432,
2006-04,53.663,
2006-07,54.190,
2006-10,54.174,
2007-01,54.285,
2007-04,54.522,
2007-07,54.712,
2007-10,54.158,
2008-01,53.978,
2008-04,54.089,
2008-07,54.289,
2008-10,53.936,
2009-01,53.597,
2009-04,54.220,
2009-07,54.397,
2009-10,54.281,
2010-01,53.998,
2010-04,53.575,
2010-07,53.945,
2010-10,53.805,
2011-01,53.690,
2011-04,53.835,
2011-07,54.135,
2011-10,54.129,
2012-01,54.815,
2012-04,55.135,
2012-07,55.394,
2012-10,55.438,
2013-01,55.235,
2013-04,55.394,
2013-07,55.845,
2013-10,55.627,
2014-01,55.856,
2014-04,56.058,
2014-07,56.474,
