"",BBK01.OEAP01G,BBK01.OEAP01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:45,
2002-01,1.106,
2002-04,1.018,
2002-07,0.860,
2002-10,0.862,
2003-01,0.859,
2003-04,0.749,
2003-07,0.568,
2003-10,0.659,
2004-01,0.579,
2004-04,0.530,
2004-07,0.440,
2004-10,0.434,
2005-01,0.272,
2005-04,0.297,
2005-07,0.385,
2005-10,0.307,
2006-01,0.266,
2006-04,0.253,
2006-07,0.234,
2006-10,0.282,
2007-01,0.131,
2007-04,0.157,
2007-07,0.163,
2007-10,0.153,
2008-01,0.165,
2008-04,0.173,
2008-07,0.156,
2008-10,0.148,
2009-01,0.142,
2009-04,0.177,
2009-07,0.130,
2009-10,0.123,
2010-01,0.098,
2010-04,0.089,
2010-07,0.049,
2010-10,0.066,
2011-01,0.106,
2011-04,0.077,
2011-07,0.044,
2011-10,0.060,
2012-01,0.039,
2012-04,0.047,
2012-07,0.023,
2012-10,0.019,
2013-01,0.019,
2013-04,0.023,
2013-07,0.021,
2013-10,0.020,
2014-01,0.025,
2014-04,0.021,
2014-07,0.029,
