"",BBFB1.M.N.DE.W1.S1.S1.T.C.D443.P.F52._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D443.P.F52._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Portfolio investment / Income from investment fund Shares / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:12,
1991-01,1.176,
1991-02,3.375,
1991-03,6.289,
1991-04,9.306,
1991-05,11.760,
1991-06,15.185,
1991-07,21.116,
1991-08,27.917,
1991-09,33.643,
1991-10,39.421,
1991-11,44.022,
1991-12,43.153,
1992-01,46.528,
1992-02,55.475,
1992-03,62.326,
1992-04,71.274,
1992-05,78.790,
1992-06,86.357,
1992-07,101.952,
1992-08,121.739,
1992-09,138.509,
1992-10,159.779,
1992-11,189.587,
1992-12,220.367,
1993-01,250.635,
1993-02,279.114,
1993-03,293.584,
1993-04,310.303,
1993-05,322.216,
1993-06,330.295,
1993-07,345.838,
1993-08,355.757,
1993-09,356.984,
1993-10,356.217,
1993-11,346.707,
1993-12,286.477,
1994-01,339.107,
1994-02,253.192,
1994-03,267.616,
1994-04,265.550,
1994-05,266.875,
1994-06,260.141,
1994-07,263.721,
1994-08,267.714,
1994-09,260.836,
1994-10,264.082,
1994-11,266.554,
1994-12,281.270,
1995-01,244.581,
1995-02,317.056,
1995-03,295.325,
1995-04,251.044,
1995-05,251.914,
1995-06,256.234,
1995-07,258.524,
1995-08,258.531,
1995-09,258.254,
1995-10,409.144,
1995-11,273.931,
1995-12,295.430,
1996-01,280.288,
1996-02,269.951,
1996-03,441.808,
1996-04,264.251,
1996-05,280.055,
1996-06,435.975,
1996-07,262.756,
1996-08,258.807,
1996-09,441.679,
1996-10,256.937,
1996-11,268.862,
1996-12,443.477,
1997-01,267.290,
1997-02,271.381,
1997-03,440.993,
1997-04,269.322,
1997-05,262.753,
1997-06,443.667,
1997-07,274.250,
1997-08,259.581,
1997-09,440.060,
1997-10,271.255,
1997-11,266.098,
1997-12,495.118,
1998-01,284.850,
1998-02,272.630,
1998-03,460.575,
1998-04,263.511,
1998-05,285.369,
1998-06,555.033,
1998-07,291.102,
1998-08,275.711,
1998-09,507.900,
1998-10,282.237,
1998-11,290.332,
1998-12,531.504,
1999-01,241.108,
1999-02,274.469,
1999-03,516.982,
1999-04,287.730,
1999-05,310.446,
1999-06,517.330,
1999-07,298.929,
1999-08,286.060,
1999-09,523.288,
1999-10,281.947,
1999-11,295.235,
1999-12,618.465,
2000-01,290.579,
2000-02,278.649,
2000-03,549.343,
2000-04,282.737,
2000-05,268.935,
2000-06,743.724,
2000-07,271.161,
2000-08,274.692,
2000-09,801.766,
2000-10,280.241,
2000-11,358.951,
2000-12,957.969,
2001-01,286.420,
2001-02,298.428,
2001-03,895.321,
2001-04,520.944,
2001-05,300.454,
2001-06,763.685,
2001-07,306.046,
2001-08,316.104,
2001-09,791.489,
2001-10,381.265,
2001-11,435.919,
2001-12,808.317,
2002-01,305.450,
2002-02,370.207,
2002-03,831.723,
2002-04,407.371,
2002-05,353.554,
2002-06,827.147,
2002-07,317.805,
2002-08,327.088,
2002-09,871.567,
2002-10,318.878,
2002-11,355.332,
2002-12,789.623,
2003-01,326.752,
2003-02,310.987,
2003-03,663.073,
2003-04,309.454,
2003-05,310.325,
2003-06,637.903,
2003-07,360.580,
2003-08,317.464,
2003-09,592.971,
2003-10,313.474,
2003-11,419.006,
2003-12,636.661,
2004-01,343.530,
2004-02,359.320,
2004-03,552.582,
2004-04,445.789,
2004-05,329.575,
2004-06,633.506,
2004-07,319.137,
2004-08,344.639,
2004-09,620.712,
2004-10,336.527,
2004-11,521.965,
2004-12,479.536,
2005-01,333.969,
2005-02,388.306,
2005-03,581.921,
2005-04,453.651,
2005-05,349.599,
2005-06,546.126,
2005-07,338.151,
2005-08,360.851,
2005-09,667.886,
2005-10,365.997,
2005-11,689.170,
2005-12,615.634,
2006-01,374.532,
2006-02,463.015,
2006-03,778.140,
2006-04,742.982,
2006-05,402.812,
2006-06,686.287,
2006-07,408.831,
2006-08,433.548,
2006-09,809.633,
2006-10,444.693,
2006-11,745.158,
2006-12,716.646,
2007-01,395.592,
2007-02,539.808,
2007-03,756.635,
2007-04,691.052,
2007-05,584.890,
2007-06,602.746,
2007-07,467.171,
2007-08,754.272,
2007-09,685.356,
2007-10,531.235,
2007-11,1097.130,
2007-12,1021.939,
2008-01,563.565,
2008-02,721.541,
2008-03,882.879,
2008-04,787.156,
2008-05,871.783,
2008-06,795.364,
2008-07,702.588,
2008-08,777.081,
2008-09,893.695,
2008-10,537.268,
2008-11,1005.700,
2008-12,892.863,
2009-01,529.192,
2009-02,522.184,
2009-03,678.801,
2009-04,727.104,
2009-05,684.660,
2009-06,516.440,
2009-07,439.058,
2009-08,558.606,
2009-09,439.028,
2009-10,461.739,
2009-11,733.018,
2009-12,731.698,
2010-01,413.564,
2010-02,397.022,
2010-03,514.426,
2010-04,549.772,
2010-05,502.504,
2010-06,610.618,
2010-07,461.724,
2010-08,486.938,
2010-09,435.597,
2010-10,405.292,
2010-11,690.717,
2010-12,800.644,
2011-01,454.044,
2011-02,422.911,
2011-03,525.236,
2011-04,556.064,
2011-05,900.799,
2011-06,754.951,
2011-07,533.929,
2011-08,519.064,
2011-09,527.678,
2011-10,796.229,
2011-11,830.097,
2011-12,1166.579,
2012-01,453.000,
2012-02,437.019,
2012-03,479.212,
2012-04,594.064,
2012-05,584.139,
2012-06,515.128,
2012-07,580.864,
2012-08,493.479,
2012-09,533.691,
2012-10,742.787,
2012-11,775.833,
2012-12,786.579,
2013-01,477.844,
2013-02,380.723,
2013-03,490.999,
2013-04,480.537,
2013-05,650.318,
2013-06,510.634,
2013-07,481.308,
2013-08,468.450,
2013-09,441.897,
2013-10,481.907,
2013-11,861.194,
2013-12,1659.948,
2014-01,493.590,
2014-02,342.339,Provisional value
2014-03,522.727,Provisional value
2014-04,625.762,Provisional value
2014-05,522.436,Provisional value
2014-06,481.564,Provisional value
2014-07,548.974,Provisional value
2014-08,455.488,Provisional value
2014-09,402.591,
2014-10,476.171,
2014-11,847.491,
2014-12,752.637,Provisional value
