"",BBK01.OEAC43U,BBK01.OEAC43U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:10,
2002-01,0.073,
2002-04,0.080,
2002-07,0.082,
2002-10,0.067,
2003-01,0.067,
2003-04,0.059,
2003-07,0.065,
2003-10,0.069,
2004-01,0.078,
2004-04,0.071,
2004-07,0.075,
2004-10,0.076,
2005-01,0.076,
2005-04,0.079,
2005-07,0.082,
2005-10,0.075,
2006-01,0.072,
2006-04,0.074,
2006-07,0.073,
2006-10,0.072,
2007-01,0.074,
2007-04,0.075,
2007-07,0.074,
2007-10,0.051,
2008-01,0.052,
2008-04,0.051,
2008-07,0.053,
2008-10,0.058,
2009-01,0.061,
2009-04,0.064,
2009-07,0.065,
2009-10,0.061,
2010-01,0.066,
2010-04,0.064,
2010-07,0.065,
2010-10,0.066,
2011-01,0.069,
2011-04,0.069,
2011-07,0.070,
2011-10,0.066,
2012-01,0.067,
2012-04,0.071,
2012-07,0.070,
2012-10,0.078,
2013-01,0.071,
2013-04,0.065,
2013-07,0.067,
2013-10,0.065,
2014-01,0.062,
2014-04,0.062,
2014-07,0.061,
