"",BBFN1.M.DE.N.1.L.MY.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MY.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Malaysia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:16,
1994-07,0.306,
1994-08,0.441,
1994-09,0.499,
1994-10,0.507,
1994-11,0.523,
1994-12,0.555,
1995-01,0.603,
1995-02,0.315,
1995-03,0.386,
1995-04,0.386,
1995-05,0.446,
1995-06,0.508,
1995-07,0.548,
1995-08,0.616,
1995-09,0.585,
1995-10,0.610,
1995-11,0.433,
1995-12,0.360,
1996-01,0.380,
1996-02,0.364,
1996-03,0.358,
1996-04,0.371,
1996-05,0.369,
1996-06,0.433,
1996-07,0.426,
1996-08,0.432,
1996-09,0.472,
1996-10,0.504,
1996-11,0.479,
1996-12,0.439,
1997-01,0.471,
1997-02,0.493,
1997-03,0.474,
1997-04,0.534,
1997-05,0.532,
1997-06,0.541,
1997-07,0.544,
1997-08,0.601,
1997-09,0.616,
1997-10,0.598,
1997-11,0.616,
1997-12,0.548,
1998-01,0.678,
1998-02,0.542,
1998-03,0.583,
1998-04,0.565,
1998-05,0.575,
1998-06,0.557,
1998-07,0.484,
1998-08,0.520,
1998-09,0.428,
1998-10,0.459,
1998-11,0.449,
1998-12,0.413,
1999-01,0.388,
1999-02,0.415,
1999-03,0.443,
1999-04,0.455,
1999-05,0.454,
1999-06,0.532,
1999-07,0.527,
1999-08,0.519,
1999-09,0.526,
1999-10,0.463,
1999-11,0.586,
1999-12,0.485,
2000-01,0.485,
2000-02,0.522,
2000-03,0.540,
2000-04,0.539,
2000-05,0.572,
2000-06,0.602,
2000-07,0.642,
2000-08,0.657,
2000-09,0.686,
2000-10,0.701,
2000-11,0.722,
2000-12,0.763,
2001-01,0.727,
2001-02,0.762,
2001-03,0.780,
2001-04,0.793,
2001-05,0.632,
2001-06,0.694,
2001-07,0.587,
2001-08,0.677,
2001-09,0.745,
2001-10,0.684,
2001-11,0.647,
2001-12,0.666,
2002-01,0.665,
2002-02,0.650,
2002-03,0.641,
2002-04,0.485,
2002-05,0.684,
2002-06,0.728,
2002-07,0.733,
2002-08,0.773,
2002-09,0.764,
2002-10,0.784,
2002-11,0.742,
2002-12,0.776,
2003-01,0.690,
2003-02,0.703,
2003-03,0.728,
2003-04,0.697,
2003-05,0.715,
2003-06,0.727,
2003-07,0.342,
2003-08,0.364,
2003-09,0.416,
2003-10,0.425,
2003-11,0.444,
2003-12,0.476,
2004-01,0.433,
2004-02,0.446,
2004-03,0.537,
2004-04,0.498,
2004-05,0.493,
2004-06,0.532,
2004-07,0.541,
2004-08,0.602,
2004-09,0.589,
2004-10,0.600,
2004-11,0.586,
2004-12,0.621,
2005-01,0.630,
2005-02,0.705,
2005-03,0.762,
2005-04,0.717,
2005-05,0.726,
2005-06,0.695,
2005-07,0.689,
2005-08,0.440,
2005-09,0.459,
2005-10,0.468,
2005-11,0.374,
2005-12,0.441,
2006-01,0.414,
2006-02,0.480,
2006-03,0.469,
2006-04,0.451,
2006-05,0.481,
2006-06,0.483,
2006-07,0.458,
2006-08,0.472,
2006-09,0.533,
2006-10,0.502,
2006-11,0.503,
2006-12,0.509,
2007-01,0.503,
2007-02,0.538,
2007-03,0.622,
2007-04,0.601,
2007-05,0.629,
2007-06,0.678,
2007-07,0.655,
2007-08,0.782,
2007-09,0.778,
2007-10,0.726,
2007-11,0.796,
2007-12,0.858,
2008-01,0.809,
2008-02,0.814,
2008-03,0.856,
2008-04,0.795,
2008-05,0.778,
2008-06,0.842,
2008-07,0.763,
2008-08,0.783,
2008-09,0.807,
2008-10,0.736,
2008-11,0.773,
2008-12,0.821,
2009-01,0.844,
2009-02,0.822,
2009-03,0.755,
2009-04,0.737,
2009-05,0.775,
2009-06,0.785,
2009-07,0.785,
2009-08,0.793,
2009-09,0.654,
2009-10,0.664,
2009-11,0.651,
2009-12,0.675,
2010-01,0.669,
2010-02,0.678,
2010-03,0.688,
2010-04,0.731,
2010-05,0.744,
2010-06,0.802,
2010-07,0.802,
2010-08,0.796,
2010-09,0.825,
2010-10,0.814,
2010-11,0.748,
2010-12,0.769,
2011-01,0.747,
2011-02,0.738,
2011-03,0.760,
2011-04,0.746,
2011-05,0.736,
2011-06,0.755,
2011-07,0.761,
2011-08,0.748,
2011-09,0.741,
2011-10,0.694,
2011-11,0.672,
2011-12,0.742,
2012-01,0.731,
2012-02,0.743,
2012-03,0.768,
2012-04,0.775,
2012-05,0.791,
2012-06,0.814,
2012-07,0.809,
2012-08,0.816,
2012-09,0.856,
2012-10,0.836,
2012-11,0.773,
2012-12,0.806,
2013-01,0.758,
2013-02,0.746,
2013-03,0.844,
2013-04,0.863,
2013-05,0.871,
2013-06,0.893,
2013-07,0.885,
2013-08,0.901,
2013-09,0.928,
2013-10,0.978,
2013-11,0.906,
2013-12,0.904,
2014-01,0.903,
2014-02,0.930,
2014-03,0.944,
2014-04,0.951,
2014-05,0.984,
2014-06,0.995,
2014-07,0.964,
2014-08,0.993,
2014-09,1.124,
2014-10,1.035,
2014-11,0.970,
2014-12,1.019,
