"",BBK01.OEAE27O,BBK01.OEAE27O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:59,
2002-01,0.161,
2002-04,0.145,
2002-07,0.136,
2002-10,0.150,
2003-01,0.132,
2003-04,0.132,
2003-07,0.129,
2003-10,0.252,
2004-01,0.253,
2004-04,0.255,
2004-07,0.255,
2004-10,0.270,
2005-01,0.269,
2005-04,0.283,
2005-07,0.226,
2005-10,0.218,
2006-01,0.232,
2006-04,0.226,
2006-07,0.165,
2006-10,0.155,
2007-01,0.152,
2007-04,0.147,
2007-07,0.118,
2007-10,0.105,
2008-01,0.109,
2008-04,0.115,
2008-07,0.111,
2008-10,0.124,
2009-01,0.123,
2009-04,0.100,
2009-07,0.145,
2009-10,0.132,
2010-01,0.126,
2010-04,0.103,
2010-07,0.115,
2010-10,0.104,
2011-01,0.102,
2011-04,0.093,
2011-07,0.092,
2011-10,0.094,
2012-01,0.098,
2012-04,0.099,
2012-07,0.099,
2012-10,0.102,
2013-01,0.101,
2013-04,0.104,
2013-07,0.108,
2013-10,0.110,
2014-01,0.103,
2014-04,0.104,
2014-07,0.107,
