"",BBK01.OEXB19R,BBK01.OEXB19R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:52,
2002-01,0.113,
2002-04,0.109,
2002-07,0.109,
2002-10,0.131,
2003-01,0.131,
2003-04,0.145,
2003-07,0.142,
2003-10,0.139,
2004-01,0.140,
2004-04,0.141,
2004-07,0.141,
2004-10,0.140,
2005-01,0.136,
2005-04,0.139,
2005-07,0.136,
2005-10,0.131,
2006-01,0.132,
2006-04,0.133,
2006-07,0.135,
2006-10,0.137,
2007-01,0.136,
2007-04,0.133,
2007-07,0.128,
2007-10,0.123,
2008-01,0.122,
2008-04,0.120,
2008-07,0.116,
2008-10,0.115,
2009-01,0.116,
2009-04,0.115,
2009-07,0.113,
2009-10,0.111,
2010-01,0.107,
2010-04,0.112,
2010-07,0.107,
2010-10,0.101,
2011-01,0.100,
2011-04,0.098,
2011-07,0.096,
2011-10,0.086,
2012-01,0.082,
2012-04,0.082,
2012-07,0.081,
2012-10,0.083,
2013-01,0.083,
2013-04,0.084,
2013-07,0.090,
2013-10,0.080,
2014-01,0.076,
2014-04,0.075,
2014-07,0.076,
