"",BBFB1.Q.N.DE.S1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:26,
1991-01,937.471,
1991-04,1108.525,
1991-07,1022.188,
1991-10,1024.371,
1992-01,980.522,
1992-04,1055.270,
1992-07,969.893,
1992-10,956.302,
1993-01,918.737,
1993-04,1013.784,
1993-07,929.209,
1993-10,919.688,
1994-01,1008.340,
1994-04,1127.342,
1994-07,1113.241,
1994-10,1051.263,
1995-01,1120.160,
1995-04,1251.431,
1995-07,1148.727,
1995-10,1153.559,
1996-01,1077.937,
1996-04,1192.963,
1996-07,1186.270,
1996-10,1149.906,
1997-01,1161.342,
1997-04,1311.587,
1997-07,1220.188,
1997-10,1210.365,
1998-01,1278.782,
1998-04,2166.780,
1998-07,1289.777,
1998-10,1287.061,
1999-01,1332.365,
1999-04,1618.076,
1999-07,1454.830,
1999-10,1518.879,
2000-01,1865.203,
2000-04,2025.038,
2000-07,1838.842,
2000-10,1795.344,
2001-01,1673.448,
2001-04,1752.870,
2001-07,1400.415,
2001-10,1298.611,
2002-01,1334.899,
2002-04,1415.062,
2002-07,1234.698,
2002-10,1189.776,
2003-01,1140.834,
2003-04,1222.711,
2003-07,1033.081,
2003-10,969.594,
2004-01,1059.832,
2004-04,1140.718,
2004-07,997.751,
2004-10,1028.549,
2005-01,941.094,
2005-04,1148.706,
2005-07,1044.696,
2005-10,1128.304,
2006-01,1293.778,
2006-04,1497.448,
2006-07,1454.206,
2006-10,1523.459,
2007-01,1646.184,
2007-04,1772.731,
2007-07,1582.922,
2007-10,1473.107,
2008-01,1398.270,
2008-04,1782.721,
2008-07,1478.993,
2008-10,1255.799,
2009-01,886.668,
2009-04,899.538,
2009-07,798.794,
2009-10,780.243,
2010-01,960.212,
2010-04,1075.070,
2010-07,954.909,
2010-10,993.291,
2011-01,871.781,
2011-04,1063.588,
2011-07,879.544,
2011-10,866.611,
2012-01,846.877,
2012-04,1078.124,
2012-07,792.355,
2012-10,763.167,
2013-01,996.581,
2013-04,1237.453,
2013-07,917.095,
2013-10,928.302,
2014-01,857.976,Provisional value
2014-04,1208.573,Provisional value
2014-07,855.898,Provisional value
