"",BBK01.OECL08H,BBK01.OECL08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:05,
2002-01,7.877,
2002-04,6.977,
2002-07,6.992,
2002-10,7.494,
2003-01,8.496,
2003-04,9.100,
2003-07,10.511,
2003-10,11.054,
2004-01,11.578,
2004-04,12.760,
2004-07,13.217,
2004-10,13.690,
2005-01,19.767,
2005-04,20.000,
2005-07,19.792,
2005-10,19.581,
2006-01,19.053,
2006-04,18.455,
2006-07,17.452,
2006-10,16.982,
2007-01,16.831,
2007-04,16.519,
2007-07,15.975,
2007-10,16.010,
2008-01,15.749,
2008-04,15.858,
2008-07,15.328,
2008-10,15.425,
2009-01,17.178,
2009-04,18.059,
2009-07,18.472,
2009-10,19.025,
2010-01,19.440,
2010-04,19.377,
2010-07,19.583,
2010-10,19.895,
2011-01,19.707,
2011-04,19.146,
2011-07,18.765,
2011-10,18.661,
2012-01,19.491,
2012-04,19.034,
2012-07,19.131,
2012-10,19.752,
2013-01,19.700,
2013-04,19.469,
2013-07,18.981,
2013-10,18.832,
2014-01,18.567,
2014-04,18.459,
2014-07,18.591,
