"",BBFN1.M.DE.N.1.A.ES.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ES.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:08,
1975-12,0.012,
1976-01,0.013,
1976-02,0.011,
1976-03,0.010,
1976-04,0.012,
1976-05,0.013,
1976-06,0.014,
1976-07,0.014,
1976-08,0.015,
1976-09,0.037,
1976-10,0.035,
1976-11,0.031,
1976-12,0.033,
1977-01,0.035,
1977-02,0.033,
1977-03,0.032,
1977-04,0.033,
1977-05,0.033,
1977-06,0.039,
1977-07,0.039,
1977-08,0.039,
1977-09,0.043,
1977-10,0.032,
1977-11,0.034,
1977-12,0.035,
1978-01,0.033,
1978-02,0.031,
1978-03,0.031,
1978-04,0.031,
1978-05,0.036,
1978-06,0.036,
1978-07,0.041,
1978-08,0.035,
1978-09,0.035,
1978-10,0.035,
1978-11,0.040,
1978-12,0.039,
1979-01,0.037,
1979-02,0.032,
1979-03,0.032,
1979-04,0.037,
1979-05,0.037,
1979-06,0.041,
1979-07,0.041,
1979-08,0.038,
1979-09,0.037,
1979-10,0.034,
1979-11,0.033,
1979-12,0.032,
1980-01,0.029,
1980-02,0.029,
1980-03,0.030,
1980-04,0.031,
1980-05,0.030,
1980-06,0.033,
1980-07,0.038,
1980-08,0.044,
1980-09,0.019,
1980-10,0.014,
1980-11,0.020,
1980-12,0.017,
1981-01,0.022,
1981-02,0.022,
1981-03,0.022,
1981-04,0.024,
1981-05,0.022,
1981-06,0.031,
1981-07,0.038,
1981-08,0.042,
1981-09,0.037,
1981-10,0.018,
1981-11,0.029,
1981-12,0.033,
1982-01,0.028,
1982-02,0.031,
1982-03,0.028,
1982-04,0.028,
1982-05,0.032,
1982-06,0.038,
1982-07,0.046,
1982-08,0.037,
1982-09,0.035,
1982-10,0.025,
1982-11,0.024,
1982-12,0.027,
1983-01,0.031,
1983-02,0.020,
1983-03,0.020,
1983-04,0.021,
1983-05,0.022,
1983-06,0.029,
1983-07,0.025,
1983-08,0.029,
1983-09,0.024,
1983-10,0.018,
1983-11,0.018,
1983-12,0.020,
1984-01,0.018,
1984-02,0.024,
1984-03,0.024,
1984-04,0.025,
1984-05,0.025,
1984-06,0.025,
1984-07,0.027,
1984-08,0.036,
1984-09,0.032,
1984-10,0.028,
1984-11,0.026,
1984-12,0.021,
1985-01,0.021,
1985-02,0.031,
1985-03,0.031,
1985-04,0.022,
1985-05,0.034,
1985-06,0.037,
1985-07,0.042,
1985-08,0.041,
