"",BBFN1.M.DE.N.1.A.MX.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MX.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Mexico,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:41,
1994-07,0.597,
1994-08,0.652,
1994-09,0.670,
1994-10,0.699,
1994-11,0.707,
1994-12,0.687,
1995-01,0.750,
1995-02,0.708,
1995-03,0.694,
1995-04,0.711,
1995-05,0.712,
1995-06,0.688,
1995-07,0.660,
1995-08,0.656,
1995-09,0.618,
1995-10,0.610,
1995-11,0.623,
1995-12,0.606,
1996-01,0.592,
1996-02,0.598,
1996-03,0.613,
1996-04,0.653,
1996-05,0.641,
1996-06,0.615,
1996-07,0.633,
1996-08,0.655,
1996-09,0.670,
1996-10,0.682,
1996-11,0.665,
1996-12,0.695,
1997-01,0.696,
1997-02,0.725,
1997-03,0.726,
1997-04,0.699,
1997-05,0.736,
1997-06,0.731,
1997-07,0.776,
1997-08,0.779,
1997-09,0.793,
1997-10,0.832,
1997-11,0.847,
1997-12,0.941,
1998-01,0.865,
1998-02,0.901,
1998-03,0.933,
1998-04,0.970,
1998-05,1.020,
1998-06,0.999,
1998-07,0.979,
1998-08,0.989,
1998-09,1.033,
1998-10,1.048,
1998-11,1.054,
1998-12,1.193,
1999-01,1.049,
1999-02,1.046,
1999-03,1.016,
1999-04,0.976,
1999-05,0.996,
1999-06,0.975,
1999-07,1.031,
1999-08,1.051,
1999-09,1.068,
1999-10,1.099,
1999-11,1.143,
1999-12,1.177,
2000-01,1.127,
2000-02,1.107,
2000-03,1.112,
2000-04,1.150,
2000-05,1.166,
2000-06,1.229,
2000-07,1.404,
2000-08,1.277,
2000-09,1.314,
2000-10,1.408,
2000-11,1.474,
2000-12,1.571,
2001-01,1.523,
2001-02,1.547,
2001-03,1.650,
2001-04,1.658,
2001-05,1.582,
2001-06,1.586,
2001-07,1.507,
2001-08,1.550,
2001-09,1.584,
2001-10,1.567,
2001-11,1.643,
2001-12,1.426,
2002-01,1.394,
2002-02,1.376,
2002-03,1.340,
2002-04,1.432,
2002-05,1.447,
2002-06,1.454,
2002-07,1.456,
2002-08,1.383,
2002-09,1.435,
2002-10,1.461,
2002-11,1.571,
2002-12,1.534,
2003-01,1.401,
2003-02,1.398,
2003-03,1.335,
2003-04,1.416,
2003-05,1.368,
2003-06,1.452,
2003-07,1.454,
2003-08,1.432,
2003-09,1.279,
2003-10,1.349,
2003-11,1.230,
2003-12,1.227,
2004-01,1.181,
2004-02,1.256,
2004-03,1.278,
2004-04,1.227,
2004-05,1.245,
2004-06,1.260,
2004-07,1.271,
2004-08,1.226,
2004-09,1.350,
2004-10,1.301,
2004-11,1.299,
2004-12,1.303,
2005-01,1.285,
2005-02,1.259,
2005-03,1.239,
2005-04,1.220,
2005-05,1.242,
2005-06,1.297,
2005-07,1.325,
2005-08,1.264,
2005-09,1.301,
2005-10,1.326,
2005-11,1.340,
2005-12,1.328,
2006-01,1.320,
2006-02,1.308,
2006-03,1.353,
2006-04,1.344,
2006-05,1.297,
2006-06,1.295,
2006-07,1.300,
2006-08,1.360,
2006-09,1.446,
2006-10,1.412,
2006-11,1.445,
2006-12,1.402,
2007-01,1.327,
2007-02,1.326,
2007-03,1.340,
2007-04,1.307,
2007-05,1.370,
2007-06,1.356,
2007-07,1.345,
2007-08,1.341,
2007-09,1.369,
2007-10,1.383,
2007-11,1.512,
2007-12,1.285,
2008-01,1.264,
2008-02,1.225,
2008-03,1.229,
2008-04,1.256,
2008-05,1.277,
2008-06,1.303,
2008-07,1.338,
2008-08,1.390,
2008-09,1.521,
2008-10,1.585,
2008-11,1.583,
2008-12,1.506,
2009-01,1.352,
2009-02,1.258,
2009-03,1.198,
2009-04,1.194,
2009-05,1.146,
2009-06,1.175,
2009-07,1.255,
2009-08,1.247,
2009-09,1.369,
2009-10,1.347,
2009-11,1.159,
2009-12,1.142,
2010-01,1.100,
2010-02,1.096,
2010-03,1.122,
2010-04,1.172,
2010-05,1.266,
2010-06,1.295,
2010-07,1.387,
2010-08,1.412,
2010-09,1.404,
2010-10,1.382,
2010-11,1.424,
2010-12,1.370,
2011-01,1.302,
2011-02,1.370,
2011-03,1.441,
2011-04,1.473,
2011-05,1.552,
2011-06,1.560,
2011-07,1.566,
2011-08,1.605,
2011-09,1.637,
2011-10,1.528,
2011-11,1.486,
2011-12,1.394,
2012-01,1.399,
2012-02,1.480,
2012-03,1.524,
2012-04,1.568,
2012-05,1.636,
2012-06,1.742,
2012-07,1.856,
2012-08,1.876,
2012-09,1.987,
2012-10,1.822,
2012-11,1.700,
2012-12,1.653,
2013-01,1.570,
2013-02,1.672,
2013-03,1.597,
2013-04,1.611,
2013-05,1.590,
2013-06,1.526,
2013-07,1.460,
2013-08,1.440,
2013-09,1.583,
2013-10,1.456,
2013-11,1.589,
2013-12,1.543,
2014-01,1.481,
2014-02,1.576,
2014-03,1.598,
2014-04,1.606,
2014-05,1.586,
2014-06,1.894,
2014-07,1.741,
2014-08,1.793,
2014-09,1.789,
2014-10,1.669,
2014-11,1.661,
2014-12,1.611,
