"",BBK01.OEAF03S,BBK01.OEAF03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:49,
2002-01,6.516,
2002-04,6.580,
2002-07,6.640,
2002-10,6.774,
2003-01,6.816,
2003-04,6.856,
2003-07,7.013,
2003-10,7.090,
2004-01,6.929,
2004-04,6.946,
2004-07,7.037,
2004-10,6.612,
2005-01,7.508,
2005-04,7.550,
2005-07,7.585,
2005-10,7.596,
2006-01,7.581,
2006-04,7.614,
2006-07,7.671,
2006-10,7.731,
2007-01,7.722,
2007-04,7.839,
2007-07,7.796,
2007-10,7.803,
2008-01,7.715,
2008-04,7.657,
2008-07,7.716,
2008-10,7.682,
2009-01,7.651,
2009-04,8.152,
2009-07,8.219,
2009-10,7.936,
2010-01,8.187,
2010-04,8.257,
2010-07,8.333,
2010-10,8.306,
2011-01,8.461,
2011-04,8.509,
2011-07,8.578,
2011-10,8.641,
2012-01,8.716,
2012-04,8.860,
2012-07,9.006,
2012-10,9.136,
2013-01,9.241,
2013-04,9.365,
2013-07,9.525,
2013-10,9.660,
2014-01,9.744,
2014-04,9.913,
2014-07,10.110,
