"",BBK01.OEAF15G,BBK01.OEAF15G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:46,
2002-01,6.592,
2002-04,6.767,
2002-07,6.970,
2002-10,6.905,
2003-01,6.608,
2003-04,6.505,
2003-07,6.577,
2003-10,6.447,
2004-01,6.100,
2004-04,6.066,
2004-07,6.047,
2004-10,5.843,
2005-01,5.759,
2005-04,5.707,
2005-07,5.979,
2005-10,5.858,
2006-01,5.651,
2006-04,5.628,
2006-07,5.684,
2006-10,5.566,
2007-01,5.492,
2007-04,5.266,
2007-07,5.301,
2007-10,5.299,
2008-01,5.221,
2008-04,5.260,
2008-07,5.125,
2008-10,5.646,
2009-01,5.851,
2009-04,6.001,
2009-07,5.879,
2009-10,5.808,
2010-01,5.886,
2010-04,6.150,
2010-07,6.190,
2010-10,6.066,
2011-01,5.987,
2011-04,6.009,
2011-07,5.864,
2011-10,5.700,
2012-01,5.433,
2012-04,5.446,
2012-07,5.315,
2012-10,5.197,
2013-01,5.009,
2013-04,4.888,
2013-07,4.899,
2013-10,4.445,
2014-01,4.332,
2014-04,4.514,
2014-07,4.322,
