"",BBK01.OEHL03L,BBK01.OEHL03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:42,
2002-01,2.077,
2002-04,2.069,
2002-07,2.130,
2002-10,2.137,
2003-01,2.045,
2003-04,1.952,
2003-07,1.806,
2003-10,1.621,
2004-01,1.531,
2004-04,1.446,
2004-07,1.347,
2004-10,1.293,
2005-01,1.252,
2005-04,1.237,
2005-07,1.226,
2005-10,1.290,
2006-01,1.384,
2006-04,1.530,
2006-07,1.704,
2006-10,1.828,
2007-01,2.245,
2007-04,2.345,
2007-07,2.484,
2007-10,2.847,
2008-01,3.326,
2008-04,3.549,
2008-07,4.071,
2008-10,4.124,
2009-01,2.984,
2009-04,2.376,
2009-07,1.784,
2009-10,1.452,
2010-01,1.340,
2010-04,1.203,
2010-07,1.111,
2010-10,0.925,
2011-01,0.937,
2011-04,0.973,
2011-07,1.032,
2011-10,1.013,
2012-01,0.968,
2012-04,0.922,
2012-07,0.815,
2012-10,0.687,
2013-01,0.609,
2013-04,0.558,
2013-07,0.542,
2013-10,0.463,
2014-01,0.452,
2014-04,0.432,
2014-07,0.417,
