"",BBK01.OEYL04N,BBK01.OEYL04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:16,
2002-01,0.416,
2002-04,0.422,
2002-07,0.309,
2002-10,0.313,
2003-01,0.395,
2003-04,0.550,
2003-07,0.454,
2003-10,0.435,
2004-01,0.470,
2004-04,0.890,
2004-07,0.566,
2004-10,0.557,
2005-01,0.563,
2005-04,0.458,
2005-07,0.606,
2005-10,0.499,
2006-01,0.484,
2006-04,0.551,
2006-07,0.528,
2006-10,0.579,
2007-01,0.580,
2007-04,0.591,
2007-07,0.483,
2007-10,0.369,
2008-01,0.366,
2008-04,0.364,
2008-07,0.514,
2008-10,0.456,
2009-01,0.509,
2009-04,0.528,
2009-07,0.366,
2009-10,0.260,
2010-01,0.326,
2010-04,0.371,
2010-07,0.379,
2010-10,0.242,
2011-01,0.240,
2011-04,0.458,
2011-07,2.915,
2011-10,1.153,
2012-01,1.910,
2012-04,1.607,
2012-07,1.591,
2012-10,2.137,
2013-01,1.914,
2013-04,1.723,
2013-07,1.707,
2013-10,1.245,
2014-01,1.231,
2014-04,1.026,
2014-07,0.979,
