"",BBK01.OELL08Q,BBK01.OELL08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:29,
2002-01,2.801,
2002-04,2.779,
2002-07,2.774,
2002-10,2.822,
2003-01,2.840,
2003-04,2.862,
2003-07,2.884,
2003-10,2.924,
2004-01,2.952,
2004-04,2.973,
2004-07,2.949,
2004-10,2.967,
2005-01,2.954,
2005-04,2.932,
2005-07,2.945,
2005-10,2.991,
2006-01,3.005,
2006-04,3.009,
2006-07,2.954,
2006-10,2.902,
2007-01,2.822,
2007-04,2.745,
2007-07,2.672,
2007-10,2.622,
2008-01,2.545,
2008-04,2.472,
2008-07,2.400,
2008-10,2.468,
2009-01,2.602,
2009-04,2.703,
2009-07,2.793,
2009-10,2.956,
2010-01,3.115,
2010-04,3.225,
2010-07,3.349,
2010-10,3.488,
2011-01,3.582,
2011-04,3.565,
2011-07,3.527,
2011-10,3.604,
2012-01,3.564,
2012-04,3.551,
2012-07,3.568,
2012-10,3.636,
2013-01,3.672,
2013-04,3.700,
2013-07,3.711,
2013-10,3.753,
2014-01,3.741,
2014-04,3.759,
2014-07,3.776,
