"",BBK01.OEAC60G,BBK01.OEAC60G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:08,
2002-01,8.644,
2002-04,8.635,
2002-07,8.543,
2002-10,8.578,
2003-01,8.347,
2003-04,8.205,
2003-07,7.467,
2003-10,6.780,
2004-01,6.308,
2004-04,6.168,
2004-07,6.035,
2004-10,6.021,
2005-01,5.907,
2005-04,5.832,
2005-07,5.737,
2005-10,6.117,
2006-01,5.966,
2006-04,5.894,
2006-07,6.605,
2006-10,6.737,
2007-01,6.958,
2007-04,7.295,
2007-07,7.235,
2007-10,7.199,
2008-01,7.101,
2008-04,7.100,
2008-07,7.032,
2008-10,6.935,
2009-01,6.892,
2009-04,6.865,
2009-07,6.793,
2009-10,6.710,
2010-01,6.609,
2010-04,6.622,
2010-07,6.646,
2010-10,6.579,
2011-01,6.492,
2011-04,6.445,
2011-07,6.404,
2011-10,6.336,
2012-01,6.245,
2012-04,6.216,
2012-07,6.172,
2012-10,6.157,
2013-01,6.104,
2013-04,6.065,
2013-07,6.031,
2013-10,5.985,
2014-01,5.900,
2014-04,5.876,
2014-07,5.821,
