"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F5___ES._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F5___ES._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Equity in the narrower sense / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:05,
1991-01,1091.710,
1991-02,499.982,
1991-03,1766.380,
1991-04,1159.918,
1991-05,935.303,
1991-06,1313.593,
1991-07,2218.644,
1991-08,678.168,
1991-09,936.972,
1991-10,726.795,
1991-11,1777.219,
1991-12,3576.980,
1992-01,928.755,
1992-02,830.604,
1992-03,1267.891,
1992-04,910.735,
1992-05,888.436,
1992-06,1183.912,
1992-07,1311.300,
1992-08,774.722,
1992-09,1715.506,
1992-10,962.329,
1992-11,593.836,
1992-12,3188.611,
1993-01,1149.486,
1993-02,564.792,
1993-03,1497.598,
1993-04,699.192,
1993-05,323.480,
1993-06,900.901,
1993-07,1025.121,
1993-08,974.967,
1993-09,908.263,
1993-10,509.438,
1993-11,639.691,
1993-12,3729.258,
1994-01,796.437,
1994-02,558.569,
1994-03,1941.180,
1994-04,850.877,
1994-05,953.354,
1994-06,1565.382,
1994-07,359.522,
1994-08,642.300,
1994-09,427.932,
1994-10,951.601,
1994-11,619.003,
1994-12,4247.560,
1995-01,3922.922,
1995-02,970.505,
1995-03,2136.208,
1995-04,3139.574,
1995-05,1122.899,
1995-06,2577.133,
1995-07,678.454,
1995-08,1501.361,
1995-09,718.378,
1995-10,773.347,
1995-11,1349.000,
1995-12,5475.239,
1996-01,2339.314,
1996-02,1258.873,
1996-03,940.174,
1996-04,729.534,
1996-05,976.693,
1996-06,1158.882,
1996-07,2668.323,
1996-08,1298.480,
1996-09,662.092,
1996-10,1627.982,
1996-11,2408.231,
1996-12,3410.284,
1997-01,3652.890,
1997-02,1218.149,
1997-03,1246.697,
1997-04,589.389,
1997-05,1052.706,
1997-06,1382.252,
1997-07,3138.742,
1997-08,1228.102,
1997-09,2406.779,
1997-10,586.372,
1997-11,1486.582,
1997-12,5319.434,
1998-01,3329.269,
1998-02,1960.230,
1998-03,1100.567,
1998-04,4218.475,
1998-05,1862.365,
1998-06,3238.575,
1998-07,2746.335,
1998-08,-93.608,
1998-09,3930.595,
1998-10,2658.640,
1998-11,28877.269,
1998-12,2815.974,
1999-01,1291.669,
1999-02,1980.838,
1999-03,2648.394,
1999-04,2516.180,
1999-05,6718.096,
1999-06,14798.468,
1999-07,1313.934,
1999-08,6060.450,
1999-09,3249.808,
1999-10,12903.045,
1999-11,804.337,
1999-12,32732.264,
2000-01,4312.797,
2000-02,7944.459,
2000-03,5973.082,
2000-04,8458.740,
2000-05,6434.385,
2000-06,7457.434,
2000-07,15514.236,
2000-08,5592.924,
2000-09,5075.007,
2000-10,12311.605,
2000-11,5796.423,
2000-12,-20925.023,
2001-01,5462.461,
2001-02,3946.343,
2001-03,-4427.293,
2001-04,2739.176,
2001-05,38155.346,
2001-06,-846.733,
2001-07,7299.252,
2001-08,1892.919,
2001-09,9606.577,
2001-10,5612.104,
2001-11,4317.905,
2001-12,1516.407,
2002-01,-1280.130,
2002-02,1341.378,
2002-03,3016.677,
2002-04,2613.951,
2002-05,8131.035,
2002-06,10150.505,
2002-07,6073.120,
2002-08,3918.162,
2002-09,6544.784,
2002-10,563.817,
2002-11,3107.380,
2002-12,1388.764,
2003-01,2235.664,
2003-02,2266.376,
2003-03,3885.147,
2003-04,-748.658,
2003-05,2497.760,
2003-06,2203.432,
2003-07,67.200,
2003-08,2218.172,
2003-09,-1569.697,
2003-10,403.147,
2003-11,1093.561,
2003-12,9129.100,
2004-01,-4108.527,
2004-02,-19295.920,
2004-03,1846.162,
2004-04,-1311.646,
2004-05,1351.000,
2004-06,82.982,
2004-07,-1065.993,
2004-08,-3406.417,
2004-09,-187.410,
2004-10,84.302,
2004-11,2381.508,
2004-12,-766.966,
2005-01,1600.143,
2005-02,1717.018,
