"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.U3.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.U3.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:14,
2009-09,8842,
2009-10,8882,
2009-11,8775,
2009-12,9124,
2010-01,8830,
2010-02,8790,
2010-03,9022,
2010-04,9012,
2010-05,8710,
2010-06,8742,
2010-07,8787,
2010-08,8916,
2010-09,9336,
2010-10,9319,
2010-11,9297,
2010-12,9385,
2011-01,8925,
2011-02,8891,
2011-03,8805,
2011-04,8725,
2011-05,8911,
2011-06,8832,
2011-07,8658,
2011-08,8487,
2011-09,8248,
2011-10,7524,
2011-11,7873,
2011-12,7918,
2012-01,8055,
2012-02,8425,
2012-03,8543,
2012-04,8562,
2012-05,8561,
2012-06,8734,
2012-07,9142,
2012-08,8993,
2012-09,8924,
2012-10,8665,
2012-11,8575,
2012-12,8882,
2013-01,8209,
2013-02,8141,
2013-03,8470,
2013-04,8448,
2013-05,8280,
2013-06,7907,
2013-07,8248,
2013-08,8269,
2013-09,8437,
2013-10,8333,
2013-11,8393,
2013-12,8205,
2014-01,7915,
2014-02,8028,
2014-03,7978,
2014-04,7808,
2014-05,7866,
2014-06,8141,
2014-07,8013,
2014-08,8271,
2014-09,8417,
2014-10,8632,
2014-11,9076,
