"",BBK01.WU0120,BBK01.WU0120_FLAGS
"",Gross sales of domestic debt securities at nominal value / Maturities of more than four years / Public Pfandbriefe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:15:27,
1967-01,216,
1967-02,225,
1967-03,291,
1967-04,196,
1967-05,216,
1967-06,179,
1967-07,244,
1967-08,244,
1967-09,236,
1967-10,262,
1967-11,272,
1967-12,265,
1968-01,619,
1968-02,396,
1968-03,392,
1968-04,357,
1968-05,311,
1968-06,268,
1968-07,344,
1968-08,398,
1968-09,267,
1968-10,316,
1968-11,172,
1968-12,386,
1969-01,645,
1969-02,410,
1969-03,198,
1969-04,303,
1969-05,352,
1969-06,107,
1969-07,380,
1969-08,386,
1969-09,339,
1969-10,475,
1969-11,186,
1969-12,149,
1970-01,184,
1970-02,222,
1970-03,463,
1970-04,399,
1970-05,169,
1970-06,248,
1970-07,418,
1970-08,454,
1970-09,264,
1970-10,308,
1970-11,485,
1970-12,500,
1971-01,426,
1971-02,259,
1971-03,339,
1971-04,424,
1971-05,215,
1971-06,191,
1971-07,388,
1971-08,357,
1971-09,413,
1971-10,420,
1971-11,294,
1971-12,428,
1972-01,1331,
1972-02,934,
1972-03,568,
1972-04,437,
1972-05,461,
1972-06,780,
1972-07,756,
1972-08,539,
1972-09,404,
1972-10,285,
1972-11,391,
1972-12,266,
1973-01,443,
1973-02,365,
1973-03,243,
1973-04,239,
1973-05,270,
1973-06,283,
1973-07,349,
1973-08,338,
1973-09,417,
1973-10,413,
1973-11,274,
1973-12,331,
1974-01,282,
1974-02,244,
1974-03,251,
1974-04,422,
1974-05,423,
1974-06,323,
1974-07,423,
1974-08,645,
1974-09,503,
1974-10,715,
1974-11,911,
1974-12,766,
1975-01,1226,
1975-02,1277,
1975-03,1005,
1975-04,1234,
1975-05,927,
1975-06,861,
1975-07,925,
1975-08,806,
1975-09,1045,
1975-10,987,
1975-11,756,
1975-12,785,
1976-01,1555,
1976-02,1494,
1976-03,1531,
1976-04,799,
1976-05,457,
1976-06,557,
1976-07,684,
1976-08,919,
1976-09,865,
1976-10,777,
1976-11,894,
1976-12,892,
1977-01,1664,
1977-02,625,
1977-03,1028,
1977-04,1065,
1977-05,596,
1977-06,785,
1977-07,1176,
1977-08,1199,
1977-09,578,
1977-10,870,
1977-11,837,
1977-12,1609,
1978-01,2046,
1978-02,1902,
1978-03,1142,
1978-04,870,
1978-05,1122,
1978-06,1002,
1978-07,1022,
1978-08,1436,
1978-09,1271,
1978-10,937,
1978-11,972,
1978-12,1039,
1979-01,1506,
1979-02,1490,
1979-03,1579,
1979-04,1357,
1979-05,1113,
1979-06,1449,
1979-07,1769,
1979-08,1369,
1979-09,787,
1979-10,1465,
1979-11,1815,
1979-12,1353,
1980-01,1988,
1980-02,1391,
1980-03,2486,
1980-04,2359,
1980-05,1526,
1980-06,1549,
1980-07,1969,
1980-08,1227,
1980-09,1215,
1980-10,1641,
1980-11,1453,
1980-12,1612,
1981-01,1941,
1981-02,2429,
1981-03,2440,
1981-04,1487,
1981-05,1109,
1981-06,1842,
1981-07,1839,
1981-08,1319,
1981-09,2335,
1981-10,1751,
1981-11,1654,
1981-12,2087,
1982-01,2621,
1982-02,1978,
1982-03,2645,
1982-04,1943,
1982-05,1563,
1982-06,1935,
1982-07,1635,
1982-08,1799,
1982-09,2021,
1982-10,3026,
1982-11,2145,
1982-12,3169,
1983-01,3355,
1983-02,2135,
1983-03,3103,
1983-04,1599,
1983-05,1402,
