"",BBK01.OEAC22H,BBK01.OEAC22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:00,
2002-01,1.467,
2002-04,1.151,
2002-07,1.381,
2002-10,1.421,
2003-01,1.375,
2003-04,1.174,
2003-07,1.076,
2003-10,1.240,
2004-01,1.416,
2004-04,0.767,
2004-07,0.757,
2004-10,0.684,
2005-01,0.691,
2005-04,0.726,
2005-07,0.717,
2005-10,0.672,
2006-01,0.757,
2006-04,0.760,
2006-07,0.925,
2006-10,0.789,
2007-01,0.765,
2007-04,0.806,
2007-07,0.769,
2007-10,0.720,
2008-01,0.710,
2008-04,1.075,
2008-07,0.792,
2008-10,0.786,
2009-01,0.776,
2009-04,0.861,
2009-07,0.774,
2009-10,0.681,
2010-01,0.707,
2010-04,0.732,
2010-07,0.670,
2010-10,0.642,
2011-01,0.840,
2011-04,0.753,
2011-07,0.649,
2011-10,0.519,
2012-01,0.662,
2012-04,0.786,
2012-07,0.740,
2012-10,0.780,
2013-01,0.869,
2013-04,0.652,
2013-07,0.525,
2013-10,0.858,
2014-01,0.747,
2014-04,0.732,
2014-07,0.737,
