"",BBFB1.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net other investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:27,
1991-01,1047.627,
1991-02,5225.071,
1991-03,-8797.189,
1991-04,-4566.995,
1991-05,-2771.303,
1991-06,792.892,
1991-07,-4481.892,
1991-08,107.867,
1991-09,2446.167,
1991-10,4326.273,
1991-11,6892.942,
1991-12,-1641.971,
1992-01,1784.303,
1992-02,-9064.914,
1992-03,-4883.683,
1992-04,-4969.441,
1992-05,-1371.086,
1992-06,-5412.771,
1992-07,971.812,
1992-08,-5159.633,
1992-09,-21973.563,
1992-10,20083.708,
1992-11,-1639.643,
1992-12,1315.797,
1993-01,1643.625,
1993-02,5337.311,
1993-03,12501.866,
1993-04,-190.036,
1993-05,3413.380,
1993-06,12837.560,
1993-07,-2393.836,
1993-08,-20958.885,
1993-09,20067.177,
1993-10,5897.005,
1993-11,12430.411,
1993-12,24915.880,
1994-01,-5628.268,
1994-02,-10249.269,
1994-03,-16410.122,
1994-04,-9691.511,
1994-05,-7027.295,
1994-06,-6332.439,
1994-07,-4928.755,
1994-08,-5641.968,
1994-09,-1006.658,
1994-10,-2980.682,
1994-11,5445.471,
1994-12,-2044.046,
1995-01,-5556.479,
1995-02,-8421.430,
1995-03,-1783.636,
1995-04,-1372.869,
1995-05,1742.213,
1995-06,2743.650,
1995-07,761.555,
1995-08,-3620.211,
1995-09,-4030.703,
1995-10,-6121.220,
1995-11,7071.842,
1995-12,-9535.461,
1996-01,-7710.040,
1996-02,-901.209,
1996-03,-3369.958,
1996-04,-15639.892,
1996-05,5355.404,
1996-06,5233.766,
1996-07,239.560,
1996-08,2046.220,
1996-09,-244.458,
1996-10,-4928.584,
1996-11,5522.657,
1996-12,9033.059,
1997-01,-8412.281,
1997-02,-3861.500,
1997-03,-9982.724,
1997-04,-8757.812,
1997-05,-12531.765,
1997-06,-663.061,
1997-07,5589.702,
1997-08,-9432.982,
1997-09,7998.856,
1997-10,-20279.911,
1997-11,8670.756,
1997-12,14894.269,
1998-01,-6674.816,
1998-02,-2164.702,
1998-03,-17991.440,
1998-04,-513.645,
1998-05,-15269.633,
1998-06,1411.707,
1998-07,1975.994,
1998-08,8072.997,
1998-09,-7788.445,
1998-10,-26621.659,
1998-11,-20431.667,
1998-12,5641.991,
1999-01,42211.259,
1999-02,-24405.164,
1999-03,-25686.104,
1999-04,-4872.323,
1999-05,-23521.352,
1999-06,1555.352,
1999-07,3865.780,
1999-08,7977.641,
1999-09,-875.220,
1999-10,-14786.271,
1999-11,26271.944,
1999-12,-32023.132,
2000-01,-26198.042,
2000-02,-10933.869,
2000-03,-26007.963,
2000-04,-8087.303,
2000-05,-34911.749,
2000-06,58217.163,
2000-07,-1692.190,
2000-08,6335.926,
2000-09,15803.533,
2000-10,11850.020,
2000-11,-32831.758,
2000-12,110.373,
2001-01,-32315.819,
2001-02,487.649,
2001-03,-22652.085,
2001-04,-23024.305,
2001-05,-22080.982,
2001-06,48172.711,
2001-07,9277.296,
2001-08,7187.889,
2001-09,31649.943,
2001-10,4441.691,
2001-11,33439.075,
2001-12,-3649.725,
2002-01,-2762.457,
2002-02,-2966.740,
2002-03,10248.102,
2002-04,690.058,
2002-05,22069.773,
2002-06,28071.043,
2002-07,4982.556,
2002-08,14124.773,
2002-09,14734.654,
2002-10,16244.683,
2002-11,10763.105,
2002-12,14991.762,
2003-01,215.107,
2003-02,33001.588,
2003-03,14134.606,
2003-04,14213.506,
2003-05,13476.680,
2003-06,25655.144,
2003-07,972.666,
2003-08,8340.153,
2003-09,-5970.506,
2003-10,17561.025,
2003-11,12152.957,
2003-12,6671.862,
2004-01,891.263,
2004-02,-520.195,
2004-03,-2958.526,
2004-04,19780.973,
2004-05,1888.551,
2004-06,6703.827,
2004-07,12501.416,
2004-08,15451.405,
2004-09,23529.148,
2004-10,-93.037,
2004-11,22376.566,
2004-12,12937.854,
2005-01,-19766.622,
2005-02,2540.419,
2005-03,11356.961,
2005-04,-17893.233,
2005-05,15362.331,
2005-06,47767.717,
2005-07,20357.119,
2005-08,-14289.034,
2005-09,8669.213,
2005-10,4408.574,
2005-11,2417.602,
2005-12,3.023,
2006-01,-17642.158,
2006-02,5903.000,
2006-03,25303.679,
2006-04,-18979.345,
2006-05,26123.123,
2006-06,40120.440,
2006-07,2495.389,
2006-08,15693.665,
2006-09,-11132.922,
2006-10,1744.172,
2006-11,10452.711,
2006-12,29385.450,
2007-01,-9512.377,
2007-02,9786.210,
2007-03,18777.788,
2007-04,-4179.821,
2007-05,6967.730,
2007-06,76037.354,
2007-07,-862.996,
2007-08,9362.354,
2007-09,15481.605,
2007-10,23763.324,
2007-11,54568.156,
2007-12,17944.507,
2008-01,-7871.594,
2008-02,-10170.526,
2008-03,11925.587,
2008-04,-35151.862,
2008-05,10106.856,
2008-06,39102.581,
2008-07,-5783.260,
2008-08,18441.230,
2008-09,30555.965,
2008-10,35337.834,
2008-11,20865.233,
2008-12,20105.457,
2009-01,-50028.310,
2009-02,12927.819,
