"",BBK01.OEAD02M,BBK01.OEAD02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:07,
2002-01,0.536,
2002-04,0.559,
2002-07,0.544,
2002-10,0.589,
2003-01,0.582,
2003-04,0.502,
2003-07,0.511,
2003-10,0.429,
2004-01,0.440,
2004-04,0.433,
2004-07,0.409,
2004-10,0.415,
2005-01,0.431,
2005-04,0.421,
2005-07,0.399,
2005-10,0.385,
2006-01,0.424,
2006-04,0.416,
2006-07,0.386,
2006-10,0.394,
2007-01,0.406,
2007-04,0.427,
2007-07,0.406,
2007-10,0.405,
2008-01,0.394,
2008-04,0.449,
2008-07,0.412,
2008-10,0.393,
2009-01,0.457,
2009-04,0.457,
2009-07,0.464,
2009-10,0.425,
2010-01,0.549,
2010-04,0.511,
2010-07,0.520,
2010-10,0.441,
2011-01,0.477,
2011-04,0.492,
2011-07,0.463,
2011-10,0.536,
2012-01,0.532,
2012-04,0.570,
2012-07,0.506,
2012-10,0.512,
2013-01,0.521,
2013-04,0.537,
2013-07,0.533,
2013-10,0.555,
2014-01,0.610,
2014-04,0.541,
2014-07,0.557,
