"",BBK01.OELL03H,BBK01.OELL03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:52,
2002-01,11.591,
2002-04,11.487,
2002-07,11.465,
2002-10,11.692,
2003-01,11.719,
2003-04,11.206,
2003-07,10.908,
2003-10,11.019,
2004-01,10.683,
2004-04,10.275,
2004-07,9.985,
2004-10,10.188,
2005-01,9.844,
2005-04,9.616,
2005-07,9.585,
2005-10,9.790,
2006-01,10.123,
2006-04,10.174,
2006-07,10.505,
2006-10,10.934,
2007-01,11.529,
2007-04,12.010,
2007-07,12.814,
2007-10,13.757,
2008-01,14.537,
2008-04,15.266,
2008-07,15.824,
2008-10,17.579,
2009-01,15.289,
2009-04,13.108,
2009-07,11.273,
2009-10,10.103,
2010-01,9.646,
2010-04,9.255,
2010-07,9.055,
2010-10,9.222,
2011-01,9.218,
2011-04,9.221,
2011-07,9.308,
2011-10,9.446,
2012-01,9.110,
2012-04,8.507,
2012-07,7.963,
2012-10,7.335,
2013-01,6.683,
2013-04,6.213,
2013-07,5.859,
2013-10,5.477,
2014-01,5.224,
2014-04,5.075,
2014-07,4.929,
