"",BBK01.OEAK02P,BBK01.OEAK02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:14,
2002-01,0.408,
2002-04,0.408,
2002-07,0.429,
2002-10,0.429,
2003-01,0.431,
2003-04,0.423,
2003-07,0.443,
2003-10,0.475,
2004-01,0.458,
2004-04,0.460,
2004-07,0.459,
2004-10,0.458,
2005-01,0.466,
2005-04,0.473,
2005-07,0.499,
2005-10,0.532,
2006-01,0.533,
2006-04,0.525,
2006-07,0.508,
2006-10,0.548,
2007-01,0.545,
2007-04,0.539,
2007-07,0.544,
2007-10,0.562,
2008-01,0.557,
2008-04,0.592,
2008-07,0.554,
2008-10,0.593,
2009-01,0.589,
2009-04,0.641,
2009-07,0.699,
2009-10,0.750,
2010-01,0.841,
2010-04,0.848,
2010-07,0.878,
2010-10,0.905,
2011-01,0.895,
2011-04,0.899,
2011-07,0.953,
2011-10,0.975,
2012-01,0.958,
2012-04,0.971,
2012-07,0.990,
2012-10,1.002,
2013-01,1.009,
2013-04,1.029,
2013-07,1.027,
2013-10,1.056,
2014-01,1.052,
2014-04,1.049,
2014-07,1.079,
