"",BBSF2.M.1.P.00000.TOT01.I.F.INV.LU.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.LU.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / Luxembourg,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:51,
2009-09,10143,
2009-10,10287,
2009-11,10615,
2009-12,10784,
2010-01,10980,
2010-02,11254,
2010-03,12182,
2010-04,12573,
2010-05,12110,
2010-06,11828,
2010-07,12171,
2010-08,12698,
2010-09,12979,
2010-10,13706,
2010-11,14136,
2010-12,14992,
2011-01,14496,
2011-02,14582,
2011-03,14018,
2011-04,14554,
2011-05,14486,
2011-06,14163,
2011-07,14108,
2011-08,12940,
2011-09,12383,
2011-10,12619,
2011-11,12054,
2011-12,12354,
2012-01,12669,
2012-02,13209,
2012-03,13129,
2012-04,12878,
2012-05,12420,
2012-06,12368,
2012-07,13017,
2012-08,13074,
2012-09,13295,
2012-10,13361,
2012-11,14272,
2012-12,14467,
2013-01,14519,
2013-02,14850,
2013-03,15165,
2013-04,15314,
2013-05,15523,
2013-06,14508,
2013-07,15132,
2013-08,15306,
2013-09,15462,
2013-10,15938,
2013-11,16209,
2013-12,16509,
2014-01,16706,
2014-02,16820,
2014-03,17260,
2014-04,17496,
2014-05,18079,
2014-06,18540,
2014-07,18946,
2014-08,19303,
2014-09,19958,
2014-10,20022,
2014-11,20693,
