"",BBK01.OEAD16I,BBK01.OEAD16I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:05,
2002-01,0.226,
2002-04,0.194,
2002-07,0.240,
2002-10,0.174,
2003-01,0.148,
2003-04,0.096,
2003-07,0.157,
2003-10,0.210,
2004-01,0.140,
2004-04,0.110,
2004-07,0.094,
2004-10,0.143,
2005-01,0.126,
2005-04,0.167,
2005-07,0.163,
2005-10,0.140,
2006-01,0.097,
2006-04,0.118,
2006-07,0.150,
2006-10,0.099,
2007-01,0.102,
2007-04,0.131,
2007-07,0.115,
2007-10,0.091,
2008-01,0.260,
2008-04,0.276,
2008-07,0.260,
2008-10,0.274,
2009-01,0.105,
2009-04,0.130,
2009-07,0.133,
2009-10,0.096,
2010-01,0.112,
2010-04,0.100,
2010-07,0.075,
2010-10,0.062,
2011-01,0.069,
2011-04,0.072,
2011-07,0.064,
2011-10,0.062,
2012-01,0.067,
2012-04,0.070,
2012-07,0.073,
2012-10,0.058,
2013-01,0.067,
2013-04,0.060,
2013-07,0.043,
2013-10,0.068,
2014-01,0.064,
2014-04,0.071,
2014-07,0.055,
