"",BBK01.OELK02K,BBK01.OELK02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:18,
2002-01,0.156,
2002-04,0.153,
2002-07,0.151,
2002-10,0.150,
2003-01,0.192,
2003-04,0.205,
2003-07,0.208,
2003-10,0.221,
2004-01,0.224,
2004-04,0.237,
2004-07,0.249,
2004-10,0.255,
2005-01,0.275,
2005-04,0.279,
2005-07,0.299,
2005-10,0.306,
2006-01,0.294,
2006-04,0.310,
2006-07,0.312,
2006-10,0.320,
2007-01,0.344,
2007-04,0.368,
2007-07,0.358,
2007-10,0.295,
2008-01,0.318,
2008-04,0.317,
2008-07,0.289,
2008-10,0.310,
2009-01,0.305,
2009-04,0.348,
2009-07,0.358,
2009-10,0.393,
2010-01,0.400,
2010-04,0.426,
2010-07,0.442,
2010-10,0.437,
2011-01,0.438,
2011-04,0.455,
2011-07,0.490,
2011-10,0.525,
2012-01,0.509,
2012-04,0.580,
2012-07,0.605,
2012-10,0.641,
2013-01,0.627,
2013-04,0.714,
2013-07,0.739,
2013-10,0.732,
2014-01,0.744,
2014-04,0.781,
2014-07,0.787,
