"",BBK01.OEBI06M,BBK01.OEBI06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:47,
2002-01,0.687,
2002-04,0.710,
2002-07,0.729,
2002-10,0.698,
2003-01,0.706,
2003-04,0.799,
2003-07,0.895,
2003-10,0.939,
2004-01,0.991,
2004-04,0.986,
2004-07,1.095,
2004-10,1.333,
2005-01,1.418,
2005-04,1.719,
2005-07,1.719,
2005-10,1.764,
2006-01,1.813,
2006-04,1.835,
2006-07,1.917,
2006-10,1.950,
2007-01,1.937,
2007-04,1.803,
2007-07,1.814,
2007-10,1.921,
2008-01,1.980,
2008-04,1.955,
2008-07,1.763,
2008-10,1.948,
2009-01,2.606,
2009-04,3.073,
2009-07,3.262,
2009-10,3.789,
2010-01,4.178,
2010-04,4.353,
2010-07,4.469,
2010-10,4.628,
2011-01,4.668,
2011-04,4.911,
2011-07,4.920,
2011-10,4.950,
2012-01,4.471,
2012-04,4.382,
2012-07,4.329,
2012-10,3.791,
2013-01,3.193,
2013-04,2.810,
2013-07,2.547,
2013-10,2.457,
2014-01,2.175,
2014-04,1.550,
2014-07,1.267,
