"",BBK01.OEAA37I,BBK01.OEAA37I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:21,
2002-01,20.189,
2002-04,20.270,
2002-07,19.846,
2002-10,19.674,
2003-01,19.759,
2003-04,20.337,
2003-07,19.859,
2003-10,19.641,
2004-01,19.860,
2004-04,20.011,
2004-07,20.991,
2004-10,20.997,
2005-01,22.455,
2005-04,22.630,
2005-07,23.246,
2005-10,23.984,
2006-01,24.216,
2006-04,24.427,
2006-07,25.214,
2006-10,25.239,
2007-01,26.439,
2007-04,26.867,
2007-07,27.424,
2007-10,27.430,
2008-01,28.663,
2008-04,30.606,
2008-07,31.589,
2008-10,33.600,
2009-01,33.951,
2009-04,35.734,
2009-07,35.742,
2009-10,36.087,
2010-01,35.758,
2010-04,35.668,
2010-07,34.781,
2010-10,34.168,
2011-01,33.911,
2011-04,33.459,
2011-07,33.178,
2011-10,32.107,
2012-01,31.786,
2012-04,31.612,
2012-07,30.983,
2012-10,30.635,
2013-01,30.155,
2013-04,29.918,
2013-07,29.640,
2013-10,29.421,
2014-01,29.020,
2014-04,28.936,
2014-07,28.958,
