"",BBK01.OEHM08Q,BBK01.OEHM08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:12,
2002-01,0.162,
2002-04,0.157,
2002-07,0.148,
2002-10,0.161,
2003-01,0.150,
2003-04,0.140,
2003-07,0.135,
2003-10,0.131,
2004-01,0.131,
2004-04,0.127,
2004-07,0.133,
2004-10,0.125,
2005-01,0.120,
2005-04,0.120,
2005-07,0.121,
2005-10,0.120,
2006-01,0.120,
2006-04,0.138,
2006-07,0.136,
2006-10,0.138,
2007-01,0.138,
2007-04,0.128,
2007-07,0.134,
2007-10,0.135,
2008-01,0.127,
2008-04,0.122,
2008-07,0.116,
2008-10,0.137,
2009-01,0.165,
2009-04,0.166,
2009-07,0.173,
2009-10,0.203,
2010-01,0.162,
2010-04,0.156,
2010-07,0.137,
2010-10,0.131,
2011-01,0.120,
2011-04,0.117,
2011-07,0.113,
2011-10,0.119,
2012-01,0.127,
2012-04,0.131,
2012-07,0.125,
2012-10,0.132,
2013-01,0.127,
2013-04,0.129,
2013-07,0.112,
2013-10,0.123,
2014-01,0.116,
2014-04,0.113,
2014-07,0.117,
