"",BBK01.OEAG01N,BBK01.OEAG01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:25,
2002-01,84.960,
2002-04,85.151,
2002-07,85.268,
2002-10,82.539,
2003-01,83.355,
2003-04,81.859,
2003-07,81.273,
2003-10,74.656,
2004-01,82.269,
2004-04,77.143,
2004-07,75.685,
2004-10,68.460,
2005-01,72.245,
2005-04,72.241,
2005-07,74.074,
2005-10,74.745,
2006-01,76.382,
2006-04,74.432,
2006-07,74.831,
2006-10,75.191,
2007-01,74.719,
2007-04,73.519,
2007-07,73.933,
2007-10,73.379,
2008-01,73.398,
2008-04,74.534,
2008-07,59.564,
2008-10,60.680,
2009-01,58.299,
2009-04,61.655,
2009-07,65.140,
2009-10,65.507,
2010-01,65.951,
2010-04,81.400,
2010-07,74.776,
2010-10,76.073,
2011-01,74.684,
2011-04,71.416,
2011-07,69.512,
2011-10,69.547,
2012-01,71.748,
2012-04,79.212,
2012-07,74.553,
2012-10,66.077,
2013-01,66.314,
2013-04,66.630,
2013-07,64.700,
2013-10,63.336,
2014-01,64.127,
2014-04,63.449,
2014-07,63.324,
