"",BBK01.OEHB22O,BBK01.OEHB22O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:26,
2002-01,0.502,
2002-04,0.493,
2002-07,0.500,
2002-10,0.502,
2003-01,0.600,
2003-04,0.642,
2003-07,0.652,
2003-10,0.720,
2004-01,0.807,
2004-04,0.826,
2004-07,0.958,
2004-10,1.005,
2005-01,1.047,
2005-04,1.090,
2005-07,1.185,
2005-10,1.366,
2006-01,1.238,
2006-04,1.194,
2006-07,1.196,
2006-10,1.366,
2007-01,1.316,
2007-04,1.351,
2007-07,1.269,
2007-10,1.314,
2008-01,1.254,
2008-04,1.245,
2008-07,1.216,
2008-10,1.349,
2009-01,1.328,
2009-04,1.471,
2009-07,1.553,
2009-10,1.645,
2010-01,1.579,
2010-04,1.724,
2010-07,1.757,
2010-10,1.878,
2011-01,1.905,
2011-04,2.017,
2011-07,1.877,
2011-10,1.832,
2012-01,1.835,
2012-04,1.887,
2012-07,1.818,
2012-10,1.911,
2013-01,2.016,
2013-04,1.935,
2013-07,1.842,
2013-10,1.766,
2014-01,1.708,
2014-04,1.597,
2014-07,1.509,
