"",BBSF2.M.1.T.00000.GEM01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.GEM01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Funds total / Mixed securities funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:33,
2009-09,2782,
2009-10,2535,
2009-11,2236,
2009-12,1468,
2010-01,1717,
2010-02,1498,
2010-03,1207,
2010-04,1176,
2010-05,1254,
2010-06,1296,
2010-07,1349,
2010-08,1427,
2010-09,1501,
2010-10,1431,
2010-11,1751,
2010-12,1985,
2011-01,1941,
2011-02,1929,
2011-03,2069,
2011-04,1987,
2011-05,2135,
2011-06,2224,
2011-07,2142,
2011-08,1884,
2011-09,1896,
2011-10,1782,
2011-11,1478,
2011-12,1331,
2012-01,1309,
2012-02,1277,
2012-03,1291,
2012-04,1412,
2012-05,1263,
2012-06,1204,
2012-07,1173,
2012-08,1363,
2012-09,1199,
2012-10,1201,
2012-11,1179,
2012-12,1121,
2013-01,1017,
2013-02,978,
2013-03,1064,
2013-04,1171,
2013-05,1129,
2013-06,1589,
2013-07,1410,
2013-08,1571,
2013-09,1362,
2013-10,1299,
2013-11,1232,
2013-12,1141,
2014-01,1117,
2014-02,1534,
2014-03,1464,
2014-04,1449,
2014-05,1387,
2014-06,1524,
2014-07,1612,
2014-08,1354,
2014-09,1272,
2014-10,1548,
2014-11,1659,
