"",BBK01.OEHB19N,BBK01.OEHB19N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:14,
2002-01,3.488,
2002-04,3.523,
2002-07,3.511,
2002-10,3.598,
2003-01,3.502,
2003-04,3.512,
2003-07,3.488,
2003-10,3.391,
2004-01,3.341,
2004-04,3.310,
2004-07,3.294,
2004-10,3.164,
2005-01,3.055,
2005-04,3.021,
2005-07,3.015,
2005-10,2.859,
2006-01,2.773,
2006-04,2.780,
2006-07,2.728,
2006-10,2.690,
2007-01,2.632,
2007-04,2.618,
2007-07,2.622,
2007-10,2.571,
2008-01,2.501,
2008-04,2.492,
2008-07,2.485,
2008-10,2.440,
2009-01,2.415,
2009-04,2.453,
2009-07,2.470,
2009-10,2.446,
2010-01,2.386,
2010-04,2.374,
2010-07,2.381,
2010-10,2.348,
2011-01,2.298,
2011-04,2.312,
2011-07,2.323,
2011-10,2.332,
2012-01,2.330,
2012-04,2.371,
2012-07,2.417,
2012-10,2.402,
2013-01,2.393,
2013-04,2.407,
2013-07,2.402,
2013-10,2.369,
2014-01,2.337,
2014-04,2.370,
2014-07,2.367,
