"",BBK01.OEXI04J,BBK01.OEXI04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:48,
2002-01,0.521,
2002-04,0.493,
2002-07,0.483,
2002-10,0.496,
2003-01,0.500,
2003-04,0.492,
2003-07,0.490,
2003-10,0.497,
2004-01,0.501,
2004-04,0.467,
2004-07,0.470,
2004-10,0.424,
2005-01,0.433,
2005-04,0.415,
2005-07,0.440,
2005-10,0.501,
2006-01,0.506,
2006-04,0.494,
2006-07,0.472,
2006-10,0.539,
2007-01,0.599,
2007-04,0.576,
2007-07,0.640,
2007-10,0.773,
2008-01,0.784,
2008-04,0.854,
2008-07,0.957,
2008-10,1.022,
2009-01,0.879,
2009-04,0.735,
2009-07,0.687,
2009-10,0.697,
2010-01,0.696,
2010-04,0.632,
2010-07,0.682,
2010-10,0.696,
2011-01,0.638,
2011-04,0.638,
2011-07,0.705,
2011-10,0.722,
2012-01,0.757,
2012-04,0.646,
2012-07,0.673,
2012-10,0.626,
2013-01,0.564,
2013-04,0.559,
2013-07,0.609,
2013-10,0.592,
2014-01,1.057,
2014-04,1.075,
2014-07,1.169,
