"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.U2.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.U2.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Euro area (changing composition),
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:27,
2009-09,153470,
2009-10,152267,
2009-11,155359,
2009-12,159627,
2010-01,156876,
2010-02,159521,
2010-03,167551,
2010-04,173568,
2010-05,173470,
2010-06,163207,
2010-07,166983,
2010-08,166674,
2010-09,169634,
2010-10,173307,
2010-11,171694,
2010-12,176220,
2011-01,175559,
2011-02,176294,
2011-03,173170,
2011-04,175820,
2011-05,175171,
2011-06,173563,
2011-07,174539,
2011-08,159340,
2011-09,154112,
2011-10,160616,
2011-11,155458,
2011-12,155269,
2012-01,161535,
2012-02,165905,
2012-03,164969,
2012-04,159938,
2012-05,156299,
2012-06,155971,
2012-07,161639,
2012-08,163292,
2012-09,165822,
2012-10,166878,
2012-11,169617,
2012-12,172806,
2013-01,175103,
2013-02,177168,
2013-03,178280,
2013-04,179956,
2013-05,183258,
2013-06,177608,
2013-07,183181,
2013-08,181491,
2013-09,186399,
2013-10,191518,
2013-11,194060,
2013-12,195123,
2014-01,194032,
2014-02,199357,
2014-03,198542,
2014-04,199624,
2014-05,203436,
2014-06,203810,
2014-07,201179,
2014-08,203334,
2014-09,200578,
2014-10,198997,
2014-11,204221,
