"",BBK01.OEBB08J,BBK01.OEBB08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:00,
2002-01,2.795,
2002-04,2.769,
2002-07,2.737,
2002-10,2.732,
2003-01,2.712,
2003-04,2.703,
2003-07,2.698,
2003-10,2.685,
2004-01,2.665,
2004-04,2.666,
2004-07,2.658,
2004-10,2.583,
2005-01,3.311,
2005-04,3.303,
2005-07,3.279,
2005-10,3.405,
2006-01,3.398,
2006-04,3.388,
2006-07,3.338,
2006-10,3.226,
2007-01,3.092,
2007-04,3.134,
2007-07,3.160,
2007-10,3.046,
2008-01,3.040,
2008-04,3.148,
2008-07,3.174,
2008-10,3.204,
2009-01,3.227,
2009-04,3.241,
2009-07,3.190,
2009-10,3.162,
2010-01,3.156,
2010-04,3.125,
2010-07,3.115,
2010-10,3.076,
2011-01,3.069,
2011-04,3.023,
2011-07,3.041,
2011-10,3.067,
2012-01,3.076,
2012-04,3.893,
2012-07,3.909,
2012-10,3.336,
2013-01,3.330,
2013-04,3.309,
2013-07,3.336,
2013-10,3.318,
2014-01,3.372,
2014-04,3.371,
2014-07,3.319,
