"",BBK01.OEHL09M,BBK01.OEHL09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:25,
2002-01,5.969,
2002-04,5.766,
2002-07,5.670,
2002-10,5.732,
2003-01,5.599,
2003-04,5.245,
2003-07,4.986,
2003-10,4.956,
2004-01,4.761,
2004-04,4.610,
2004-07,4.579,
2004-10,4.823,
2005-01,4.812,
2005-04,4.738,
2005-07,4.661,
2005-10,4.755,
2006-01,4.991,
2006-04,5.147,
2006-07,5.401,
2006-10,5.681,
2007-01,5.800,
2007-04,5.845,
2007-07,5.867,
2007-10,6.031,
2008-01,5.934,
2008-04,5.851,
2008-07,5.749,
2008-10,5.799,
2009-01,5.543,
2009-04,5.284,
2009-07,5.235,
2009-10,5.351,
2010-01,5.480,
2010-04,5.245,
2010-07,4.981,
2010-10,4.670,
2011-01,4.533,
2011-04,4.468,
2011-07,4.453,
2011-10,4.502,
2012-01,4.475,
2012-04,4.420,
2012-07,4.358,
2012-10,4.426,
2013-01,4.476,
2013-04,4.359,
2013-07,4.245,
2013-10,4.116,
2014-01,4.000,
2014-04,3.915,
2014-07,3.800,
