"",BBK01.OECI05J,BBK01.OECI05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:46,
2002-01,0.048,
2002-04,0.046,
2002-07,0.044,
2002-10,0.040,
2003-01,0.040,
2003-04,0.040,
2003-07,0.034,
2003-10,0.031,
2004-01,0.029,
2004-04,0.027,
2004-07,0.025,
2004-10,0.020,
2005-01,0.051,
2005-04,0.047,
2005-07,0.041,
2005-10,0.041,
2006-01,0.037,
2006-04,0.038,
2006-07,0.036,
2006-10,0.031,
2007-01,0.027,
2007-04,0.025,
2007-07,0.024,
2007-10,0.025,
2008-01,0.025,
2008-04,0.024,
2008-07,0.028,
2008-10,0.030,
2009-01,0.053,
2009-04,0.054,
2009-07,0.057,
2009-10,0.056,
2010-01,0.058,
2010-04,0.058,
2010-07,0.057,
2010-10,0.057,
2011-01,0.040,
2011-04,0.036,
2011-07,0.034,
2011-10,0.030,
2012-01,0.037,
2012-04,4.599,
2012-07,4.421,
2012-10,4.270,
2013-01,4.124,
2013-04,2.597,
2013-07,1.655,
2013-10,1.619,
2014-01,0.055,
2014-04,0.049,
2014-07,0.044,
