"",BBK01.OEAE25J,BBK01.OEAE25J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:44,
2002-01,0.039,
2002-04,0.039,
2002-07,0.040,
2002-10,0.044,
2003-01,0.045,
2003-04,0.046,
2003-07,0.045,
2003-10,0.039,
2004-01,0.040,
2004-04,0.042,
2004-07,0.043,
2004-10,0.035,
2005-01,0.034,
2005-04,0.034,
2005-07,0.034,
2005-10,0.033,
2006-01,0.032,
2006-04,0.033,
2006-07,0.031,
2006-10,0.031,
2007-01,0.029,
2007-04,0.032,
2007-07,0.030,
2007-10,0.029,
2008-01,0.027,
2008-04,0.027,
2008-07,0.019,
2008-10,0.017,
2009-01,0.017,
2009-04,0.018,
2009-07,0.020,
2009-10,0.019,
2010-01,0.013,
2010-04,0.020,
2010-07,0.018,
2010-10,0.020,
2011-01,0.019,
2011-04,0.022,
2011-07,0.023,
2011-10,0.023,
2012-01,0.026,
2012-04,0.056,
2012-07,0.051,
2012-10,0.055,
2013-01,0.054,
2013-04,0.059,
2013-07,0.054,
2013-10,0.056,
2014-01,0.056,
2014-04,0.054,
2014-07,0.053,
