"",BBK01.OEXI03L,BBK01.OEXI03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:42,
2002-01,32.490,
2002-04,30.030,
2002-07,30.312,
2002-10,33.031,
2003-01,28.998,
2003-04,28.346,
2003-07,28.749,
2003-10,33.701,
2004-01,31.922,
2004-04,32.662,
2004-07,32.621,
2004-10,35.904,
2005-01,35.340,
2005-04,37.015,
2005-07,45.399,
2005-10,38.313,
2006-01,45.300,
2006-04,46.130,
2006-07,58.059,
2006-10,54.047,
2007-01,61.164,
2007-04,68.640,
2007-07,76.472,
2007-10,77.594,
2008-01,83.534,
2008-04,86.836,
2008-07,96.456,
2008-10,88.198,
2009-01,80.822,
2009-04,82.789,
2009-07,76.721,
2009-10,76.281,
2010-01,76.457,
2010-04,77.178,
2010-07,82.383,
2010-10,106.649,
2011-01,103.024,
2011-04,105.402,
2011-07,103.271,
2011-10,109.737,
2012-01,109.201,
2012-04,111.604,
2012-07,107.036,
2012-10,106.589,
2013-01,105.046,
2013-04,104.458,
2013-07,97.473,
2013-10,98.531,
2014-01,100.410,
2014-04,99.763,
2014-07,100.478,
