"",BBSF2.M.1.T.00000.DAK01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAK01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:26,
2009-09,28,
2009-10,26,
2009-11,60,
2009-12,73,
2010-01,68,
2010-02,64,
2010-03,65,
2010-04,58,
2010-05,57,
2010-06,57,
2010-07,52,
2010-08,51,
2010-09,52,
2010-10,54,
2010-11,55,
2010-12,55,
2011-01,54,
2011-02,53,
2011-03,51,
2011-04,54,
2011-05,53,
2011-06,51,
2011-07,50,
2011-08,43,
2011-09,40,
2011-10,42,
2011-11,39,
2011-12,40,
2012-01,39,
2012-02,39,
2012-03,37,
2012-04,36,
2012-05,35,
2012-06,36,
2012-07,38,
2012-08,40,
2012-09,41,
2012-10,41,
2012-11,35,
2012-12,30,
2013-01,29,
2013-02,30,
2013-03,30,
2013-04,29,
2013-05,28,
2013-06,26,
2013-07,27,
2013-08,28,
2013-09,26,
2013-10,39,
2013-11,41,
2013-12,41,
2014-01,41,
2014-02,43,
2014-03,43,
2014-04,43,
2014-05,44,
2014-06,45,
2014-07,46,
2014-08,46,
2014-09,46,
2014-10,44,
2014-11,45,
