"",BBK01.OELB14Q,BBK01.OELB14Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:00,
2002-01,0.640,
2002-04,0.654,
2002-07,0.649,
2002-10,0.611,
2003-01,0.604,
2003-04,0.606,
2003-07,0.562,
2003-10,0.516,
2004-01,0.504,
2004-04,0.499,
2004-07,0.477,
2004-10,0.434,
2005-01,0.447,
2005-04,0.455,
2005-07,0.448,
2005-10,0.404,
2006-01,0.440,
2006-04,0.437,
2006-07,0.411,
2006-10,0.362,
2007-01,0.369,
2007-04,0.401,
2007-07,0.383,
2007-10,0.369,
2008-01,0.399,
2008-04,0.427,
2008-07,0.408,
2008-10,0.383,
2009-01,0.411,
2009-04,0.437,
2009-07,0.422,
2009-10,0.369,
2010-01,0.394,
2010-04,0.418,
2010-07,0.379,
2010-10,0.334,
2011-01,0.356,
2011-04,0.379,
2011-07,0.363,
2011-10,0.366,
2012-01,0.394,
2012-04,0.440,
2012-07,0.397,
2012-10,0.374,
2013-01,0.410,
2013-04,0.442,
2013-07,0.415,
2013-10,0.373,
2014-01,0.388,
2014-04,0.415,
2014-07,0.398,
