"",BBK01.OEHM04J,BBK01.OEHM04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:44,
2002-01,0.038,
2002-04,0.065,
2002-07,0.036,
2002-10,0.014,
2003-01,0.076,
2003-04,0.083,
2003-07,0.092,
2003-10,0.025,
2004-01,0.037,
2004-04,0.142,
2004-07,0.077,
2004-10,0.040,
2005-01,0.015,
2005-04,0.114,
2005-07,0.080,
2005-10,0.035,
2006-01,0.043,
2006-04,0.104,
2006-07,0.049,
2006-10,0.094,
2007-01,0.077,
2007-04,0.203,
2007-07,0.137,
2007-10,0.083,
2008-01,0.120,
2008-04,0.373,
2008-07,0.169,
2008-10,0.070,
2009-01,0.066,
2009-04,0.089,
2009-07,0.061,
2009-10,0.037,
2010-01,0.031,
2010-04,0.037,
2010-07,0.041,
2010-10,0.051,
2011-01,0.042,
2011-04,0.031,
2011-07,0.025,
2011-10,0.044,
2012-01,0.039,
2012-04,0.040,
2012-07,0.036,
2012-10,0.015,
2013-01,0.010,
2013-04,0.010,
2013-07,0.011,
2013-10,0.004,
2014-01,0.004,
2014-04,0.003,
2014-07,-,Nothing exists
