"",BBK01.CELE10,BBK01.CELE10_FLAGS
"",short-term loans                                              debtor: Non-financial corporations  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:44,
1999-01,-6.7,
1999-04,5.5,
1999-07,-4.6,
1999-10,23.8,
2000-01,-4.6,
2000-04,15.5,
2000-07,-7.6,
2000-10,35.3,
2001-01,15.7,
2001-04,8.5,
2001-07,-9.7,
2001-10,7.6,
2002-01,2.5,
2002-04,0.9,
2002-07,7.6,
2002-10,-15.8,
2003-01,-1.3,
2003-04,-1.5,
2003-07,-11.4,
2003-10,0.5,
2004-01,-12.1,
2004-04,-10.1,
2004-07,-11.3,
2004-10,-1.2,
2005-01,0.2,
2005-04,3.5,
2005-07,-1.0,
2005-10,4.8,
2006-01,1.5,
2006-04,11.4,
2006-07,4.0,
2006-10,-1.3,
2007-01,11.1,
2007-04,8.3,
2007-07,4.1,
2007-10,6.4,
2008-01,1.1,
2008-04,14.0,
2008-07,-0.9,
2008-10,1.2,
2009-01,0.7,
2009-04,0.0,
2009-07,-24.0,
2009-10,-20.2,
2010-01,1.7,
2010-04,1.1,
2010-07,-13.9,
2010-10,-10.0,
2011-01,5.0,
2011-04,1.2,
2011-07,7.2,
2011-10,6.2,
2012-01,5.7,
2012-04,9.1,
2012-07,1.2,
2012-10,-3.3,
2013-01,15.0,
2013-04,4.3,
2013-07,-0.5,
2013-10,-10.6,
2014-01,14.0,
2014-04,12.5,
2014-07,-12.9,
