"",BBK01.CEWK03,BBK01.CEWK03_FLAGS
"",Net acquisition of financial assets Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:03,
1991-01,3.0,
1991-04,-0.5,
1991-07,3.9,
1991-10,2.1,
1992-01,2.5,
1992-04,-4.3,
1992-07,3.2,
1992-10,3.3,
1993-01,2.5,
1993-04,-2.9,
1993-07,3.8,
1993-10,1.4,
1994-01,4.1,
1994-04,-5.0,
1994-07,4.8,
1994-10,1.5,
1995-01,4.3,
1995-04,-1.6,
1995-07,3.4,
1995-10,-0.1,
1996-01,3.3,
1996-04,-1.6,
1996-07,3.3,
1996-10,0.6,
1997-01,4.0,
1997-04,0.1,
1997-07,3.8,
1997-10,0.2,
1998-01,2.4,
1998-04,-2.3,
1998-07,2.8,
1998-10,-2.3,
1999-01,4.5,
1999-04,0.5,
1999-07,4.4,
1999-10,0.9,
2000-01,5.5,
2000-04,2.8,
2000-07,3.4,
2000-10,1.2,
2001-01,1.9,
2001-04,-2.3,
2001-07,2.7,
2001-10,0.3,
2002-01,2.7,
2002-04,0.3,
2002-07,3.4,
2002-10,0.9,
2003-01,1.9,
2003-04,-0.2,
2003-07,2.0,
2003-10,-1.1,
2004-01,6.2,
2004-04,7.3,
2004-07,5.6,
2004-10,2.3,
2005-01,9.4,
2005-04,9.9,
2005-07,7.2,
2005-10,5.5,
2006-01,5.9,
2006-04,11.5,
2006-07,9.1,
2006-10,7.1,
2007-01,-0.7,
2007-04,6.4,
2007-07,1.6,
2007-10,0.4,
2008-01,-5.4,
2008-04,9.2,
2008-07,8.8,
2008-10,1.2,
2009-01,-4.4,
2009-04,4.8,
2009-07,3.2,
2009-10,1.0,
2010-01,-0.4,
2010-04,6.3,
2010-07,33.7,
2010-10,0.4,
2011-01,0.8,
2011-04,6.6,
2011-07,4.4,
2011-10,1.1,
2012-01,0.3,
2012-04,3.3,
2012-07,0.7,
2012-10,-1.8,
2013-01,-0.8,
2013-04,1.0,
2013-07,0.4,
2013-10,-4.1,
2014-01,-5.9,
