"",BBK01.CELFJ3,BBK01.CELFJ3_FLAGS
"",long-term loans                                             debtor:  Households                                   creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:21,
1999-01,16.7,
1999-04,17.9,
1999-07,20.6,
1999-10,18.3,
2000-01,3.9,
2000-04,11.3,
2000-07,13.1,
2000-10,10.2,
2001-01,1.0,
2001-04,6.3,
2001-07,8.4,
2001-10,7.0,
2002-01,-1.2,
2002-04,5.1,
2002-07,7.2,
2002-10,6.6,
2003-01,1.0,
2003-04,4.6,
2003-07,9.2,
2003-10,5.9,
2004-01,-7.0,
2004-04,7.2,
2004-07,9.5,
2004-10,-0.1,
2005-01,-7.8,
2005-04,3.5,
2005-07,5.4,
2005-10,3.1,
2006-01,-7.0,
2006-04,1.4,
2006-07,4.0,
2006-10,-3.4,
2007-01,-8.4,
2007-04,-3.7,
2007-07,-0.9,
2007-10,-6.2,
2008-01,-7.9,
2008-04,0.1,
2008-07,-1.1,
2008-10,-5.0,
2009-01,-8.4,
2009-04,1.8,
2009-07,4.8,
2009-10,1.4,
2010-01,-5.9,
2010-04,4.7,
2010-07,6.2,
2010-10,3.2,
2011-01,-3.7,
2011-04,4.1,
2011-07,7.2,
2011-10,4.0,
2012-01,-1.3,
2012-04,5.6,
2012-07,7.7,
2012-10,4.2,
2013-01,-2.2,
2013-04,5.5,
2013-07,8.5,
2013-10,2.8,
2014-01,-0.4,
2014-04,5.6,
2014-07,10.8,
