"",BBDE1.M.DE.Y.GUA1.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.GUA1.A2P320000.F.V.I10.A_FLAGS
"",Turnover / At current prices / Germany / Capital goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:48,
1991-01,59.8,
1991-02,58.4,
1991-03,58.1,
1991-04,58.0,
1991-05,57.6,
1991-06,60.2,
1991-07,58.8,
1991-08,58.6,
1991-09,58.3,
1991-10,60.0,
1991-11,62.9,
1991-12,61.2,
1992-01,60.4,
1992-02,62.0,
1992-03,61.1,
1992-04,61.4,
1992-05,61.3,
1992-06,60.2,
1992-07,58.1,
1992-08,59.2,
1992-09,60.8,
1992-10,58.9,
1992-11,58.3,
1992-12,59.3,
1993-01,53.1,
1993-02,54.6,
1993-03,54.3,
1993-04,54.1,
1993-05,53.3,
1993-06,52.1,
1993-07,51.9,
1993-08,55.7,
1993-09,54.5,
1993-10,54.7,
1993-11,53.0,
1993-12,55.8,
1994-01,51.2,
1994-02,52.7,
1994-03,52.5,
1994-04,54.6,
1994-05,53.7,
1994-06,54.5,
1994-07,55.1,
1994-08,51.9,
1994-09,55.6,
1994-10,57.1,
1994-11,57.3,
1994-12,57.8,
1995-01,56.2,
1995-02,57.2,
1995-03,57.3,
1995-04,57.1,
1995-05,57.7,
1995-06,57.6,
1995-07,55.6,
1995-08,56.0,
1995-09,58.2,
1995-10,56.2,
1995-11,57.6,
1995-12,60.2,
1996-01,59.6,
1996-02,57.8,
1996-03,58.9,
1996-04,59.4,
1996-05,59.1,
1996-06,60.5,
1996-07,59.5,
1996-08,59.5,
1996-09,63.3,
1996-10,61.0,
1996-11,63.8,
1996-12,64.2,
1997-01,61.5,
1997-02,60.9,
1997-03,63.2,
1997-04,62.0,
1997-05,63.1,
1997-06,66.1,
1997-07,67.2,
1997-08,65.1,
1997-09,66.0,
1997-10,65.1,
1997-11,68.8,
1997-12,68.1,
1998-01,65.7,
1998-02,67.3,
1998-03,69.9,
1998-04,67.8,
1998-05,70.1,
1998-06,72.4,
1998-07,72.4,
1998-08,71.2,
1998-09,70.5,
1998-10,72.4,
1998-11,70.1,
1998-12,73.2,
1999-01,70.2,
1999-02,70.7,
1999-03,73.1,
1999-04,71.6,
1999-05,72.4,
1999-06,74.3,
1999-07,73.9,
1999-08,75.0,
1999-09,76.0,
1999-10,75.4,
1999-11,74.5,
1999-12,75.5,
2000-01,75.8,
2000-02,75.8,
2000-03,78.1,
2000-04,78.1,
2000-05,81.1,
2000-06,81.7,
2000-07,81.9,
2000-08,83.3,
2000-09,83.1,
2000-10,83.0,
2000-11,83.6,
2000-12,85.0,
2001-01,85.1,
2001-02,86.3,
2001-03,86.5,
2001-04,84.6,
2001-05,85.4,
2001-06,84.5,
2001-07,82.6,
2001-08,86.8,
2001-09,86.9,
2001-10,83.0,
2001-11,82.3,
2001-12,83.2,
2002-01,84.1,
2002-02,82.9,
2002-03,82.0,
2002-04,82.8,
2002-05,81.0,
2002-06,83.5,
2002-07,82.7,
2002-08,86.7,
2002-09,85.3,
2002-10,84.6,
2002-11,84.7,
2002-12,87.0,
2003-01,82.6,
2003-02,83.9,
2003-03,84.5,
2003-04,84.0,
2003-05,82.1,
2003-06,80.7,
2003-07,85.9,
2003-08,82.0,
2003-09,82.9,
2003-10,83.3,
2003-11,86.6,
2003-12,89.0,
2004-01,84.1,
2004-02,88.1,
2004-03,87.2,
2004-04,89.0,
2004-05,90.4,
2004-06,90.7,
2004-07,90.4,
2004-08,89.6,
2004-09,90.5,
2004-10,90.5,
2004-11,88.6,
2004-12,89.9,
2005-01,92.1,
2005-02,88.6,
2005-03,92.2,
2005-04,91.5,
2005-05,89.6,
2005-06,92.9,
2005-07,93.7,
2005-08,93.7,
2005-09,97.3,
2005-10,96.3,
2005-11,97.2,
2005-12,97.1,
2006-01,96.0,
2006-02,98.4,
2006-03,97.2,
2006-04,101.2,
2006-05,100.2,
2006-06,99.4,
2006-07,101.4,
2006-08,101.1,
2006-09,102.5,
2006-10,102.8,
2006-11,106.0,
2006-12,103.7,
2007-01,105.9,
2007-02,106.2,
2007-03,107.5,
2007-04,105.7,
2007-05,108.0,
2007-06,107.6,
2007-07,109.3,
2007-08,108.2,
2007-09,111.3,
2007-10,112.2,
2007-11,111.3,
2007-12,112.2,
2008-01,116.6,
2008-02,116.3,
2008-03,114.1,
2008-04,115.8,
2008-05,111.5,
2008-06,112.8,
2008-07,109.6,
2008-08,114.2,
2008-09,109.8,
2008-10,109.8,
2008-11,105.3,
2008-12,97.2,
2009-01,87.0,
2009-02,82.9,
2009-03,87.8,
2009-04,81.0,
