"",BBK01.OEYL05M,BBK01.OEYL05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:21,
2002-01,16.585,
2002-04,16.570,
2002-07,16.592,
2002-10,17.192,
2003-01,17.402,
2003-04,17.489,
2003-07,17.669,
2003-10,18.319,
2004-01,18.549,
2004-04,18.697,
2004-07,18.753,
2004-10,19.386,
2005-01,19.631,
2005-04,19.803,
2005-07,20.480,
2005-10,21.040,
2006-01,21.196,
2006-04,21.204,
2006-07,21.018,
2006-10,21.299,
2007-01,21.313,
2007-04,21.211,
2007-07,20.980,
2007-10,21.239,
2008-01,21.153,
2008-04,20.930,
2008-07,20.466,
2008-10,20.432,
2009-01,20.300,
2009-04,20.319,
2009-07,20.285,
2009-10,20.822,
2010-01,21.050,
2010-04,21.222,
2010-07,21.312,
2010-10,21.777,
2011-01,21.961,
2011-04,22.081,
2011-07,22.096,
2011-10,22.526,
2012-01,22.609,
2012-04,22.638,
2012-07,22.525,
2012-10,22.980,
2013-01,22.994,
2013-04,22.974,
2013-07,22.968,
2013-10,23.259,
2014-01,23.332,
2014-04,23.287,
2014-07,23.214,
