"",BBK01.OEAF07I,BBK01.OEAF07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:34,
2002-01,0.941,
2002-04,1.055,
2002-07,1.104,
2002-10,1.079,
2003-01,1.001,
2003-04,1.066,
2003-07,1.030,
2003-10,0.930,
2004-01,0.854,
2004-04,0.843,
2004-07,0.870,
2004-10,0.798,
2005-01,0.838,
2005-04,0.837,
2005-07,0.932,
2005-10,0.843,
2006-01,0.949,
2006-04,0.880,
2006-07,0.881,
2006-10,0.851,
2007-01,0.802,
2007-04,0.817,
2007-07,0.827,
2007-10,0.856,
2008-01,0.976,
2008-04,1.107,
2008-07,1.251,
2008-10,1.002,
2009-01,0.956,
2009-04,0.947,
2009-07,0.978,
2009-10,0.956,
2010-01,0.927,
2010-04,0.942,
2010-07,0.902,
2010-10,0.872,
2011-01,0.865,
2011-04,0.877,
2011-07,0.903,
2011-10,0.870,
2012-01,0.799,
2012-04,0.799,
2012-07,0.824,
2012-10,0.854,
2013-01,0.820,
2013-04,0.835,
2013-07,0.821,
2013-10,0.901,
2014-01,0.848,
2014-04,0.827,
2014-07,0.884,
