"",BBK01.OECB06S,BBK01.OECB06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:51,
2002-01,0.662,
2002-04,0.639,
2002-07,0.666,
2002-10,0.545,
2003-01,0.458,
2003-04,0.476,
2003-07,0.470,
2003-10,0.388,
2004-01,0.367,
2004-04,0.356,
2004-07,0.357,
2004-10,0.308,
2005-01,0.349,
2005-04,0.329,
2005-07,0.339,
2005-10,0.292,
2006-01,0.336,
2006-04,0.339,
2006-07,0.343,
2006-10,0.272,
2007-01,0.270,
2007-04,0.277,
2007-07,0.252,
2007-10,0.296,
2008-01,0.330,
2008-04,0.368,
2008-07,0.364,
2008-10,0.313,
2009-01,0.286,
2009-04,0.283,
2009-07,0.258,
2009-10,0.253,
2010-01,0.262,
2010-04,0.265,
2010-07,0.264,
2010-10,0.254,
2011-01,0.244,
2011-04,0.289,
2011-07,0.260,
2011-10,0.252,
2012-01,0.264,
2012-04,0.256,
2012-07,0.261,
2012-10,0.251,
2013-01,0.261,
2013-04,0.260,
2013-07,0.262,
2013-10,0.244,
2014-01,0.235,
2014-04,0.242,
2014-07,0.242,
