"",BBK01.OEAC20H,BBK01.OEAC20H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:46,
2002-01,9.195,
2002-04,8.973,
2002-07,8.444,
2002-10,8.766,
2003-01,8.147,
2003-04,8.133,
2003-07,8.301,
2003-10,7.668,
2004-01,7.668,
2004-04,7.583,
2004-07,7.649,
2004-10,7.113,
2005-01,7.345,
2005-04,6.973,
2005-07,6.685,
2005-10,6.857,
2006-01,6.580,
2006-04,6.233,
2006-07,6.108,
2006-10,6.064,
2007-01,6.202,
2007-04,6.422,
2007-07,6.804,
2007-10,6.776,
2008-01,7.469,
2008-04,6.968,
2008-07,6.794,
2008-10,6.972,
2009-01,7.284,
2009-04,7.155,
2009-07,6.579,
2009-10,5.842,
2010-01,6.011,
2010-04,5.883,
2010-07,5.834,
2010-10,5.822,
2011-01,6.586,
2011-04,6.610,
2011-07,7.068,
2011-10,6.482,
2012-01,6.840,
2012-04,6.707,
2012-07,6.925,
2012-10,6.346,
2013-01,6.326,
2013-04,5.894,
2013-07,6.042,
2013-10,5.764,
2014-01,5.736,
2014-04,5.674,
2014-07,5.771,
