"",BBK01.OEAE06H,BBK01.OEAE06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:04,
2002-01,26.649,
2002-04,24.973,
2002-07,24.685,
2002-10,24.947,
2003-01,24.372,
2003-04,23.174,
2003-07,22.813,
2003-10,22.703,
2004-01,21.812,
2004-04,21.306,
2004-07,20.549,
2004-10,19.685,
2005-01,19.406,
2005-04,19.214,
2005-07,18.904,
2005-10,19.389,
2006-01,19.052,
2006-04,18.811,
2006-07,18.446,
2006-10,17.901,
2007-01,17.822,
2007-04,17.400,
2007-07,17.362,
2007-10,16.846,
2008-01,16.525,
2008-04,16.391,
2008-07,16.284,
2008-10,16.767,
2009-01,16.991,
2009-04,15.439,
2009-07,15.426,
2009-10,14.396,
2010-01,15.470,
2010-04,15.056,
2010-07,14.718,
2010-10,14.805,
2011-01,14.758,
2011-04,14.896,
2011-07,16.431,
2011-10,16.442,
2012-01,16.355,
2012-04,16.599,
2012-07,16.623,
2012-10,16.453,
2013-01,16.476,
2013-04,16.732,
2013-07,17.274,
2013-10,17.216,
2014-01,17.078,
2014-04,17.535,
2014-07,17.753,
