"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.CY.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.CY.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Cyprus,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:08,
2009-09,68,
2009-10,60,
2009-11,56,
2009-12,60,
2010-01,66,
2010-02,78,
2010-03,72,
2010-04,69,
2010-05,49,
2010-06,47,
2010-07,46,
2010-08,43,
2010-09,45,
2010-10,88,
2010-11,70,
2010-12,69,
2011-01,62,
2011-02,59,
2011-03,59,
2011-04,43,
2011-05,38,
2011-06,26,
2011-07,20,
2011-08,13,
2011-09,12,
2011-10,14,
2011-11,13,
2011-12,12,
2012-01,8,
2012-02,7,
2012-03,7,
2012-04,7,
2012-05,6,
2012-06,3,
2012-07,3,
2012-08,4,
2012-09,6,
2012-10,9,
2012-11,10,
2012-12,10,
2013-01,10,
2013-02,10,
2013-03,10,
2013-04,21,
2013-05,23,
2013-06,6,
2013-07,5,
2013-08,6,
2013-09,5,
2013-10,4,
2013-11,7,
2013-12,12,
2014-01,15,
2014-02,25,
2014-03,28,
2014-04,32,
2014-05,36,
2014-06,49,
2014-07,41,
2014-08,42,
2014-09,49,
2014-10,48,
2014-11,49,
