"",BBK01.OEAO05Q,BBK01.OEAO05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:57,
2002-01,0.031,
2002-04,0.028,
2002-07,0.030,
2002-10,0.352,
2003-01,0.034,
2003-04,0.028,
2003-07,0.109,
2003-10,0.299,
2004-01,0.024,
2004-04,0.018,
2004-07,0.020,
2004-10,0.264,
2005-01,0.025,
2005-04,0.016,
2005-07,0.018,
2005-10,0.247,
2006-01,0.013,
2006-04,0.014,
2006-07,0.016,
2006-10,0.249,
2007-01,0.024,
2007-04,0.018,
2007-07,0.020,
2007-10,0.244,
2008-01,0.038,
2008-04,0.028,
2008-07,0.034,
2008-10,0.264,
2009-01,0.047,
2009-04,0.035,
2009-07,0.046,
2009-10,0.247,
2010-01,0.032,
2010-04,0.016,
2010-07,0.029,
2010-10,0.193,
2011-01,0.031,
2011-04,0.019,
2011-07,0.026,
2011-10,0.152,
2012-01,0.033,
2012-04,0.022,
2012-07,0.025,
2012-10,0.153,
2013-01,0.026,
2013-04,0.021,
2013-07,0.022,
2013-10,0.104,
2014-01,0.020,
2014-04,0.015,
2014-07,0.019,
