"",BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:17,
1991-01,376.333,
1991-04,870.120,
1991-07,1240.963,
1991-10,-201.916,
1992-01,2098.248,
1992-04,1031.046,
1992-07,-198.893,
1992-10,2630.588,
1993-01,746.402,
1993-04,2914.089,
1993-07,783.747,
1993-10,5043.445,
1994-01,292.195,
1994-04,-232.878,
1994-07,-424.946,
1994-10,708.929,
1995-01,1033.356,
1995-04,981.912,
1995-07,1018.979,
1995-10,416.679,
1996-01,2429.841,
1996-04,2243.887,
1996-07,1406.767,
1996-10,1731.953,
1997-01,2974.170,
1997-04,1341.080,
1997-07,4328.590,
1997-10,1644.575,
1998-01,2902.107,
1998-04,2623.573,
1998-07,62.715,
1998-10,2512.910,
1999-01,4806.967,
1999-04,-4000.601,
1999-07,2498.222,
1999-10,6950.141,
2000-01,856.544,
2000-04,-2585.317,
2000-07,1629.099,
2000-10,3636.512,
2001-01,-5110.206,
2001-04,2363.741,
2001-07,4891.650,
2001-10,1159.653,
2002-01,-5578.643,
2002-04,3930.678,
2002-07,-1680.590,
2002-10,-804.582,
2003-01,11944.975,
2003-04,108.311,
2003-07,4839.497,
2003-10,10491.938,
2004-01,-13609.566,
2004-04,8605.539,
2004-07,3003.897,
2004-10,1180.225,
2005-01,5811.188,
2005-04,-6929.011,
2005-07,5657.259,
2005-10,1840.283,
2006-01,6457.037,
2006-04,17942.072,
2006-07,-7564.707,
2006-10,20315.329,
2007-01,8049.024,
2007-04,176.013,
2007-07,939.948,
2007-10,-17106.182,
2008-01,-3728.475,
2008-04,7481.452,
2008-07,7608.000,
2008-10,-10217.758,
2009-01,-10184.799,
2009-04,-8067.424,
2009-07,-4073.111,
2009-10,-3973.576,
2010-01,2807.171,
2010-04,158.653,
2010-07,1041.450,
2010-10,976.521,
2011-01,4258.983,
2011-04,-913.883,
2011-07,6796.736,
2011-10,-9642.547,
2012-01,3408.145,
2012-04,1596.682,
2012-07,4634.216,
2012-10,38.230,
2013-01,1754.208,
2013-04,-220.600,
2013-07,3488.357,
2013-10,-1847.229,
2014-01,6091.587,Provisional value
2014-04,5120.644,Provisional value
2014-07,-240.171,Provisional value
2014-10,-6399.440,Provisional value
