"",BBK01.OEXB14O,BBK01.OEXB14O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:13,
2002-01,-0.175,
2002-04,-0.197,
2002-07,-0.224,
2002-10,-0.239,
2003-01,-0.246,
2003-04,-0.270,
2003-07,-0.268,
2003-10,-0.245,
2004-01,-0.250,
2004-04,-0.252,
2004-07,-0.264,
2004-10,-0.251,
2005-01,0.036,
2005-04,0.035,
2005-07,0.035,
2005-10,0.033,
2006-01,0.033,
2006-04,0.034,
2006-07,0.036,
2006-10,0.034,
2007-01,0.033,
2007-04,0.031,
2007-07,0.030,
2007-10,0.030,
2008-01,0.030,
2008-04,0.028,
2008-07,0.030,
2008-10,0.031,
2009-01,0.029,
2009-04,0.028,
2009-07,0.026,
2009-10,0.025,
2010-01,0.026,
2010-04,0.025,
2010-07,0.027,
2010-10,0.024,
2011-01,0.023,
2011-04,0.023,
2011-07,0.022,
2011-10,0.020,
2012-01,0.030,
2012-04,0.032,
2012-07,0.028,
2012-10,0.025,
2013-01,0.023,
2013-04,0.023,
2013-07,0.022,
2013-10,0.021,
2014-01,0.021,
2014-04,0.020,
2014-07,0.021,
